"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fund_expenditure_type","fares_and_other_directly","fares_and_other_directly_1","taxes_fees_levied_by_transit","taxes_fees_levied_by_transit_1","local","local_questionable","state_1","state_questionable","federal","federal_questionable","total","total_questionable"
"City of Seattle, dba: Seattle Center Monorail","Seattle","WA","00023","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","8","Funds Expended on Capital","0",,"0",,"1577",,"0",,"6310",,"7887",
"City of Seattle, dba: Seattle Center Monorail","Seattle","WA","00023","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","8","Funds Expended on Operations","6043910",,"0",,"0",,"0",,"0",,"6043910",
"Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Vancouver","WA","00024","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","167","Funds Expended on Capital","0",,"22039530",,"0",,"0",,"691995",,"22731525",
"Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Vancouver","WA","00024","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","167","Funds Expended on Operations","13079885",,"47432304",,"0",,"7610785",,"8540129",,"76663103",
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem","OR","00025","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78229","Salem, OR","268331","139","Funds Expended on Capital","3104804",,"0",,"0",,"0",,"12419216",,"15524020",
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem","OR","00025","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78229","Salem, OR","268331","139","Funds Expended on Operations","3359111",,"18061383",,"0",,"22358958",,"6127461",,"49906913",
"Bristol Bay Native Association","Dillingham","AK","00026","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299",,"Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Bristol Bay Native Association","Dillingham","AK","00026","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299",,"Funds Expended on Operations","0",,"0",,"0",,"0",,"0",,"0",
"Confederated Tribes of Siletz Indians, dba: CTSI Planning Department","Siletz","OR","00027","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447",,"Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Confederated Tribes of Siletz Indians, dba: CTSI Planning Department","Siletz","OR","00027","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447",,"Funds Expended on Operations","0",,"0",,"338",,"0",,"338926",,"339264",
"County of Pierce, dba: Pierce County Ferry","Tacoma","WA","00028","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2","Funds Expended on Capital","0",,"0",,"183000",,"16027",,"61695",,"260722",
"County of Pierce, dba: Pierce County Ferry","Tacoma","WA","00028","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2","Funds Expended on Operations","5674876",,"0",,"600000",,"1053679",,"352723",,"7681278",
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","563","Funds Expended on Capital","304837",,"12127014",,"0",,"6457991",,"30666428",,"49556270",
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","563","Funds Expended on Operations","55949939",,"143748776",,"2409082",,"603667",,"4282196",,"206993660",
"Chickaloon Native Village, dba: Chickaloon Area Transit System (Transit)","Palmer","AK","00030","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Chickaloon Native Village, dba: Chickaloon Area Transit System (Transit)","Palmer","AK","00030","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","Funds Expended on Operations","3944",,"0",,"901",,"0",,"139011",,"143856",
"Shoshone-Bannock Tribes","Fort Hall","ID","00031","Tribe","Reduced Reporter","2024","00016","Idaho Non-UZA","836252","7","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Shoshone-Bannock Tribes","Fort Hall","ID","00031","Tribe","Reduced Reporter","2024","00016","Idaho Non-UZA","836252","7","Funds Expended on Operations","0",,"0",,"0",,"0",,"478054",,"478054",
"Senior Services of Snohomish County, dba: Homage Senior Services","Lynnwood","WA","00033","Private-Non-Profit Corporation","Reduced Reporter","2024","80389","Seattle--Tacoma, WA","3544011","11","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Senior Services of Snohomish County, dba: Homage Senior Services","Lynnwood","WA","00033","Private-Non-Profit Corporation","Reduced Reporter","2024","80389","Seattle--Tacoma, WA","3544011","11","Funds Expended on Operations","24137",,"0",,"225337",,"1379012",,"239477",,"1867963",
"Rogue Valley Transportation District","Medford","OR","00034","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","55981","Medford, OR","171640","52","Funds Expended on Capital","0",,"0",,"3487349",,"823854",,"9339793",,"13650996",
"Rogue Valley Transportation District","Medford","OR","00034","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","55981","Medford, OR","171640","52","Funds Expended on Operations","2088490",,"0",,"3060583",,"8231775",,"6637030",,"20017878",
"Washington State Ferries","Olympia","WA","00035","State Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","15","Funds Expended on Capital","35274",,"0",,"0",,"187118979",,"21553904",,"208708157",
"Washington State Ferries","Olympia","WA","00035","State Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","15","Funds Expended on Operations","175741673",,"0",,"0",,"105795085",,"72289633",,"353826391",
"Makah Tribal Council","Neah Bay","WA","00036","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","1","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Makah Tribal Council","Neah Bay","WA","00036","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","1","Funds Expended on Operations","0",,"0",,"11218",,"0",,"185217",,"196435",
"Central Puget Sound Regional Transit Authority, dba: Sound Transit","Seattle","WA","00040","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","429","Funds Expended on Capital","0",,"1224230778",,"0",,"27956662",,"269739946",,"1521927386",
"Central Puget Sound Regional Transit Authority, dba: Sound Transit","Seattle","WA","00040","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","429","Funds Expended on Operations","320290843",,"411996868",,"2388674",,"0",,"559396",,"735235781",
"Alaska Railroad Corporation","Anchorage","AK","00041","State Government Unit or Department of Transportation","Full Reporter","2024","02305","Anchorage, AK","249252","59","Funds Expended on Capital","45225579",,"0",,"0",,"279350",,"38516295",,"84021224",
"Alaska Railroad Corporation","Anchorage","AK","00041","State Government Unit or Department of Transportation","Full Reporter","2024","02305","Anchorage, AK","249252","59","Funds Expended on Operations","48355398",,"0",,"0",,"0",,"16445622",,"64801020",
"Chelan Douglas PTBA, dba: Link Transit","Wenatchee","WA","00043","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","93862","Wenatchee, WA","78142","82","Funds Expended on Capital","0",,"9809563",,"0",,"44250",,"368101",,"10221914",
"Chelan Douglas PTBA, dba: Link Transit","Wenatchee","WA","00043","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","93862","Wenatchee, WA","78142","82","Funds Expended on Operations","1760762",,"17416173",,"0",,"3620844",,"4335452",,"27133231",
"Skagit Transit","Burlington","WA","00044","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","60490","Mount Vernon, WA","66825","79","Funds Expended on Capital","0",,"2626935",,"0",,"1361557",,"5050945",,"9039437",
"Skagit Transit","Burlington","WA","00044","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","60490","Mount Vernon, WA","66825","79","Funds Expended on Operations","2076140",,"11918103",,"0",,"1403531",,"5493078",,"20890852",
"Fairbanks North Star Borough, dba: Metropolitan Area Commuter System","Fairbanks","AK","00045","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","28549","Fairbanks, AK","71396","20","Funds Expended on Capital","0",,"0",,"3855419",,"0",,"15421675",,"19277094",
"Fairbanks North Star Borough, dba: Metropolitan Area Commuter System","Fairbanks","AK","00045","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","28549","Fairbanks, AK","71396","20","Funds Expended on Operations","317169",,"0",,"5280030",,"227600",,"3547460",,"9372259",
"City of Wilsonville, dba: South Metro Area Regional Transit","Wilsonville","OR","00046","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","71317","Portland, OR--WA","2104238","19","Funds Expended on Capital","0",,"0",,"474082",,"344361",,"341190",,"1159633",
"City of Wilsonville, dba: South Metro Area Regional Transit","Wilsonville","OR","00046","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","71317","Portland, OR--WA","2104238","19","Funds Expended on Operations","922221",,"0",,"3245564",,"2328483",,"531124",,"7027392",
"City of Corvallis, dba: Corvallis Transit System","Corvallis","OR","00047","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","20422","Corvallis, OR","66791","10","Funds Expended on Capital","0",,"0",,"177900",,"0",,"711600",,"889500",
"City of Corvallis, dba: Corvallis Transit System","Corvallis","OR","00047","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","20422","Corvallis, OR","66791","10","Funds Expended on Operations","187431",,"0",,"1366938",,"1081838",,"1743237",,"4379444",
"City of Lewiston, dba: Lewiston Transit System","Lewiston","ID","00048","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","49312","Lewiston, ID--WA","54798","5","Funds Expended on Capital","0",,"0",,"164260",,"0",,"511171",,"675431",
"City of Lewiston, dba: Lewiston Transit System","Lewiston","ID","00048","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","49312","Lewiston, ID--WA","54798","5","Funds Expended on Operations","125631",,"0",,"435605",,"1790",,"641134",,"1204160",
"Asotin County Public Transportation Benefit Area","Clarkston","WA","00051","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","49312","Lewiston, ID--WA","54798","13","Funds Expended on Capital","0",,"0",,"308405",,"397451",,"105610",,"811466",
"Asotin County Public Transportation Benefit Area","Clarkston","WA","00051","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","49312","Lewiston, ID--WA","54798","13","Funds Expended on Operations","119858",,"0",,"1035294",,"250000",,"429889",,"1835041",
"Coeur d'Alene Tribe, dba: Citylink Transit","Plummer","ID","00053","Tribe","Reduced Reporter","2024","18451","Coeur d'Alene, ID","121831","7","Funds Expended on Capital","0",,"0",,"0",,"0",,"574831",,"574831",
"Coeur d'Alene Tribe, dba: Citylink Transit","Plummer","ID","00053","Tribe","Reduced Reporter","2024","18451","Coeur d'Alene, ID","121831","7","Funds Expended on Operations","0",,"0",,"277722",,"0",,"2118024",,"2395746",
"Kootenai County, dba: Citylink North","Coeur D Alene","ID","00055","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","18451","Coeur d'Alene, ID","121831","4","Funds Expended on Capital","0",,"0",,"144051",,"0",,"786181",,"930232",
"Kootenai County, dba: Citylink North","Coeur D Alene","ID","00055","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","18451","Coeur d'Alene, ID","121831","4","Funds Expended on Operations","0",,"0",,"5005",,"0",,"792199",,"797204",
"Central Oregon Intergovernmental Council, dba: Cascades East Transit","Bend","OR","00057","MPO, COG or Other Planning Agency","Full Reporter","2024","06868","Bend, OR","106988","90","Funds Expended on Capital","20672",,"0",,"0",,"1057810",,"1485666",,"2564148",
"Central Oregon Intergovernmental Council, dba: Cascades East Transit","Bend","OR","00057","MPO, COG or Other Planning Agency","Full Reporter","2024","06868","Bend, OR","106988","90","Funds Expended on Operations","379999",,"0",,"1367827",,"5335540",,"4513746",,"11597112",
"City of Portland, dba: Portland Streetcar","Portland","OR","00058","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","71317","Portland, OR--WA","2104238","14","Funds Expended on Capital","0",,"0",,"3823402",,"0",,"0",,"3823402",
"City of Portland, dba: Portland Streetcar","Portland","OR","00058","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","71317","Portland, OR--WA","2104238","14","Funds Expended on Operations","1625773",,"0",,"21240096",,"4516414",,"0",,"27382283",
"Josephine County, dba: Josephine Community Transit","Grants Pass","OR","00059","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","34516","Grants Pass, OR","55724","18","Funds Expended on Capital","0",,"0",,"1850784",,"279975",,"1279208",,"3409967",
"Josephine County, dba: Josephine Community Transit","Grants Pass","OR","00059","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","34516","Grants Pass, OR","55724","18","Funds Expended on Operations","249217",,"0",,"1451687",,"0",,"2263379",,"3964283",
"City of Albany, dba: Albany Transit System, Linn-Benton Loop","Albany","OR","00061","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00955","Albany, OR","62074","15","Funds Expended on Capital","0",,"0",,"103491",,"224115",,"189849",,"517455",
"City of Albany, dba: Albany Transit System, Linn-Benton Loop","Albany","OR","00061","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00955","Albany, OR","62074","15","Funds Expended on Operations","0",,"0",,"291000",,"1535243",,"1585583",,"3411826",
"City of Milton-Freewater","Milton Freewater","OR","00063","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Milton-Freewater","Milton Freewater","OR","00063","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Operations","2814",,"0",,"88661",,"48003",,"126352",,"265830",
"Valley Transit","Walla Walla","WA","00064","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","91405","Walla Walla, WA--OR","50013","19","Funds Expended on Capital","0",,"0",,"664864",,"0",,"2659457",,"3324321",
"Valley Transit","Walla Walla","WA","00064","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","91405","Walla Walla, WA--OR","50013","19","Funds Expended on Operations","63329",,"0",,"4875398",,"1808552",,"0",,"6747279",
"Benton County, dba: Benton Area Transit","Corvallis","OR","00065","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","20422","Corvallis, OR","66791","13","Funds Expended on Capital","0",,"0",,"0",,"579103",,"0",,"579103",
"Benton County, dba: Benton Area Transit","Corvallis","OR","00065","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","20422","Corvallis, OR","66791","13","Funds Expended on Operations","346160",,"0",,"16748",,"576150",,"516455",,"1455513",
"Confederated Tribes of the Grand Ronde Community of Oregon","Grand Ronde","OR","00075","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA",,,"Funds Expended on Capital","0",,"0",,"37242",,"0",,"5450",,"42692",
"Confederated Tribes of the Grand Ronde Community of Oregon","Grand Ronde","OR","00075","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA",,,"Funds Expended on Operations","0",,"0",,"0",,"47586",,"76429",,"124015",
"Gulkana Village Council, dba: Soaring Eagle Transit","Gakona","AK","00085","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","Funds Expended on Capital","0",,"0",,"13254",,"0",,"119287",,"132541",
"Gulkana Village Council, dba: Soaring Eagle Transit","Gakona","AK","00085","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","Funds Expended on Operations","75351",,"0",,"0",,"0",,"198929",,"274280",
"Lummi Nation, dba: Lummi Transit","Bellingham","WA","00095","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","4","Funds Expended on Capital","0",,"0",,"65000",,"0",,"65318",,"130318",
"Lummi Nation, dba: Lummi Transit","Bellingham","WA","00095","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","4","Funds Expended on Operations","0",,"0",,"0",,"372578",,"99526",,"472104",
"Squaxin Island Tribe, dba: Squaxin Island Transit","Shelton","WA","00103","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Squaxin Island Tribe, dba: Squaxin Island Transit","Shelton","WA","00103","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","Funds Expended on Operations","0",,"0",,"0",,"0",,"274669",,"274669",
"Confederated Tribes and Bands of The Yakama Nation, dba: Pahto Public Passage","Toppenish","WA","00111","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","7","Funds Expended on Capital","11688",,"0",,"0",,"222073",,"0",,"233761",
"Confederated Tribes and Bands of The Yakama Nation, dba: Pahto Public Passage","Toppenish","WA","00111","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","7","Funds Expended on Operations","11000",,"0",,"0",,"109073",,"380559",,"500632",
"Confederated Tribes of the Umatilla Indian Reservation, dba: Kayak Public Transit","Pendleton","OR","00119","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","8","Funds Expended on Capital","0",,"0",,"196086",,"336030",,"619177",,"1151293",
"Confederated Tribes of the Umatilla Indian Reservation, dba: Kayak Public Transit","Pendleton","OR","00119","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","8","Funds Expended on Operations","0",,"0",,"401047",,"1069919",,"1132608",,"2603574",
"Cowlitz Indian Tribe, dba: Cowlitz Tribe Transit Service","Longview","WA","00127","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","8","Funds Expended on Capital","0",,"0",,"0",,"81916",,"20368",,"102284",
"Cowlitz Indian Tribe, dba: Cowlitz Tribe Transit Service","Longview","WA","00127","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","8","Funds Expended on Operations","4006",,"0",,"0",,"385868",,"102978",,"492852",
