"_5_digit_ntd_id","max_agency","max_reporter_type","max_organization_type","report_year","max_city","max_state","max_agency_voms","mode","max_mode_name","type_of_service","max_mode_voms","max_primary_uza_code","max_primary_uza_name","max_primary_uza_area_sq_miles","max_primary_uza_population","max_service_area_sq_miles","max_service_area_population","questionable_record","max_time_period","min_time_service_begins","max_time_service_ends","sum_actual_vehicles_passenger_car_miles","sum_actual_vehicles_passenger_car_revenue_miles","sum_actual_vehicles_passenger_deadhead_miles","sum_scheduled_vehicles_passenger_car_revenue_miles","sum_actual_vehicles_passenger_car_hours","sum_actual_vehicles_passenger_car_revenue_hours","sum_actual_vehicles_passenger_car_deadhead_hours","sum_charter_service_hours","sum_school_bus_hours","sum_trains_in_operation","sum_train_miles","sum_train_revenue_miles","sum_train_deadhead_miles","sum_train_hours","sum_train_revenue_hours","sum_train_deadhead_hours","sum_unlinked_passenger_trips_upt","sum_ada_upt","sum_sponsored_service_upt","sum_passenger_miles","sum_directional_route_miles","sum_days_of_service_operated","sum_days_not_operated_strikes","sum_days_not_operated_emergencies"
"00002","Spokane Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Spokane","WA","316","MB","Bus","DO","135","83764","Spokane, WA","171.67","447279","248.00","475470","","Annual Total",,,"7857689","7146245","711444","7153594","556009","524059","31950",,,,,,,,,,"10166876",,,"45243855",,,,
"00002","Spokane Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Spokane","WA","316","VP","Vanpool","DO","89","83764","Spokane, WA","171.67","447279","248.00","475470","","Annual Total",,,"1096062","1096062","0",,"32585","32585","0",,,,,,,,,,"103270",,,"3050552",,,,
"00003","Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Lakewood","WA","416","DR","Demand Response","DO","14","80389","Seattle--Tacoma, WA","982.52","3544011","292.00","575963","","Annual Total",,,"291285","253977","37308",,"21213","18544","2669",,,,,,,,,,"37428","32806","0","274527",,,,
"00003","Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Lakewood","WA","416","DR","Demand Response","PT","75","80389","Seattle--Tacoma, WA","982.52","3544011","292.00","575963","","Annual Total",,,"2845655","2428510","417145",,"209482","176674","32808","0","0",,,,,,,,"322972","234641","0","2364880",,,,
"00003","Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Lakewood","WA","416","MB","Bus","DO","105","80389","Seattle--Tacoma, WA","982.52","3544011","292.00","575963","","Annual Total",,,"5327231","4524583","802648","4529015","448273","403238","45035","0","0",,,,,,,,"6774524",,,"31182208","11.06",,,
"00003","Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Lakewood","WA","416","VP","Vanpool","DO","222","80389","Seattle--Tacoma, WA","982.52","3544011","292.00","575963","","Annual Total",,,"3206018","3206018","0",,"95009","95009","0","0","0",,,,,,,,"362661",,,"11039362",,,,
"00004","Confederated Tribes of the Colville Indian Reservation","Reduced Reporter","Tribe","2024","Nespelem","WA","5","FB","Ferryboat","DO","1","00053","Washington Non-UZA","0.00","1895776",,,"","Annual Total",,,,"20706",,,,"5368",,,,,,,,,,,"137731",,,,,,,
"00004","Confederated Tribes of the Colville Indian Reservation","Reduced Reporter","Tribe","2024","Nespelem","WA","5","MB","Bus","DO","4","00053","Washington Non-UZA","0.00","1895776",,,"","Annual Total",,,,"59845",,,,"1797",,,,,,,,,,,"1958",,,,,,,
"00005","City of Everett, dba: Everett Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Everett","WA","50","DR","Demand Response","DO","18","80389","Seattle--Tacoma, WA","982.52","3544011","34.00","111180","","Annual Total",,,"463033","412193","50840",,"40045","36791","3254",,,,,,,,,,"83305","73884",,"449060",,,,
"00005","City of Everett, dba: Everett Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Everett","WA","50","MB","Bus","DO","32","80389","Seattle--Tacoma, WA","982.52","3544011","34.00","111180","","Annual Total",,,"1438951","1274180","164771","1276154","116448","108748","7700","0","0",,,,,,,,"1751902",,,"5792919",,,,
"00006","City of Yakima, dba: Yakima Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Yakima","WA","43","CB","Commuter Bus","PT","2","97507","Yakima, WA","55.77","133145","33.00","100716","","Annual Total",,,"146737","144142","2595","152275","4754","4535","219","0","0",,,,,,,,"34140",,,"1087017",,,,
"00006","City of Yakima, dba: Yakima Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Yakima","WA","43","DR","Demand Response","PT","23","97507","Yakima, WA","55.77","133145","33.00","100716","","Annual Total",,,"345043","328802","16241",,"33788","31910","1878","0","0",,,,,,,,"53347","53347","0","186714",,,,
"00006","City of Yakima, dba: Yakima Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Yakima","WA","43","MB","Bus","DO","18","97507","Yakima, WA","55.77","133145","33.00","100716","Y","Annual Total",,,"750858","672452","78406","751858","51590","46976","4614","0","0",,,,,,,,"653426",,,"2784389",,,,
"00007","Lane Transit District","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Eugene","OR","141","DR","Demand Response","PT","35","28117","Eugene, OR","73.49","270179","482.00","327173","","Annual Total",,,"949419","804219","145200",,"79676","63365","16311","0","0",,,,,,,,"125684","111123",,"837773",,,,
"00007","Lane Transit District","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Eugene","OR","141","DR","Demand Response","TX","31","28117","Eugene, OR","73.49","270179","482.00","327173","","Annual Total",,,,"2424895",,,,"98953",,,,,,,,,,,"272993",,"272993","2888012",,"361",,"4"
"00007","Lane Transit District","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Eugene","OR","141","MB","Bus","DO","53","28117","Eugene, OR","73.49","270179","482.00","327173","","Annual Total",,,"2298806","2085152","213654","2096518","177809","165200","12609","0","0",,,,,,,,"3513412",,,"13200206",,,,
"00007","Lane Transit District","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Eugene","OR","141","MB","Bus","PT","3","28117","Eugene, OR","73.49","270179","482.00","327173","","Annual Total",,,"130981","129301","1680","129671","5862","5784","78","0","0",,,,,,,,"13865",,,"356741",,,,
"00007","Lane Transit District","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Eugene","OR","141","RB","Bus Rapid Transit","DO","13","28117","Eugene, OR","73.49","270179","482.00","327173","","Annual Total",,,"697972","655089","42883","656549","60948","57971","2977","0","0",,,,,,,,"2786403",,,"7248651","28.02",,,
"00007","Lane Transit District","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Eugene","OR","141","VP","Vanpool","PT","6","28117","Eugene, OR","73.49","270179","482.00","327173","","Annual Total",,,"146241","146241","0",,"2902","2902","0","0","0",,,,,,,,"12632",,,"605346",,,,
"00008","Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Portland","OR","804","DR","Demand Response","PT","195","71317","Portland, OR--WA","519.30","2104238","376.00","1512100","","Annual Total",,,"5402208","4681155","721053",,"455109","380380","74729","0","0",,,,,,,,"573381","565469","0","4481884",,,,
"00008","Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Portland","OR","804","DR","Demand Response","TN","26","71317","Portland, OR--WA","519.30","2104238","376.00","1512100","","Annual Total",,,,"705851",,,,"23901",,,,,,,,,,,"46922","46576","0","743401",,"366",,
"00008","Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Portland","OR","804","DR","Demand Response","TX","19","71317","Portland, OR--WA","519.30","2104238","376.00","1512100","","Annual Total",,,,"184176",,,,"8152",,,,,,,,,,,"19273","18996","0","198512",,"366",,
"00008","Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Portland","OR","804","LR","Light Rail","DO","102","71317","Portland, OR--WA","519.30","2104238","376.00","1512100","","Annual Total",,,"7455184","7395676","59508","7637324","548318","540351","7967",,,,"3820319","3759993","60326","279481","275146","4335","23393585",,,"105192826","118.91","360","0","6"
"00008","Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Portland","OR","804","MB","Bus","DO","459","71317","Portland, OR--WA","519.30","2104238","376.00","1512100","","Annual Total",,,"23993028","20688446","3304582","20748508","2031708","1887545","144163","0","0",,,,,,,,"40600671",,,"141161285","12.04",,,
"00008","Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Portland","OR","804","YR","Hybrid Rail","PT","3","71317","Portland, OR--WA","519.30","2104238","376.00","1512100","","Annual Total",,,"75081","73967","1114","74389","4132","3622","510",,,,"73865","72773","1092","4065","3565","500","114987",,,"914603","29.22","251","0","0"
"00010","Klamath Tribes, dba: Quail Trail","Reduced Reporter","Tribe","2024","Chiloquin","OR","7","CB","Commuter Bus","DO","2","00041","Oregon Non-UZA","0.00","1553447",,,"","Annual Total",,,,"89936",,,,"3746",,,,,,,,,,,"9469",,,,,,,
"00010","Klamath Tribes, dba: Quail Trail","Reduced Reporter","Tribe","2024","Chiloquin","OR","7","DR","Demand Response","DO","5","00041","Oregon Non-UZA","0.00","1553447",,,"","Annual Total",,,,"78785",,,,"2717",,,,,,,,,,,"3231",,"0",,,,,
"00012","Municipality of Anchorage","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Anchorage","AK","186","DR","Demand Response","PT","43","02305","Anchorage, AK","91.69","249252","77.00","291247","","Annual Total",,,"1068456","957477","110979",,"93157","83172","9985",,,,,,,,,,"168815","61682",,"1082172",,,,
"00012","Municipality of Anchorage","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Anchorage","AK","186","MB","Bus","DO","40","02305","Anchorage, AK","91.69","249252","77.00","291247","","Annual Total",,,"2540765","2387861","152904","2400062","193005","184100","8905",,,,,,,,,,"3044346",,,"12536344",,,,
"00012","Municipality of Anchorage","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Anchorage","AK","186","VP","Vanpool","PT","103","02305","Anchorage, AK","91.69","249252","77.00","291247","","Annual Total",,,"2001592","2001592","0",,"41984","41984","0",,,,,,,,,,"227371",,,"9029274",,,,
"00014","Sitka Tribe of Alaska","Reduced Reporter","Tribe","2024","Sitka","AK","3","MB","Bus","DO","3","00002","Alaska Non-UZA","0.00","359299",,,"","Annual Total",,,,"139825",,,,"9867",,,,,,,,,,,"61391",,,,,,,
"00015","Snoqualmie Indian Tribe, dba: Snoqualmie Valley Transportation","Reduced Reporter","Tribe","2024","Snoqualmie","WA","2","DR","Demand Response","DO","2","00053","Washington Non-UZA","0.00","1895776",,,"","Annual Total",,,,"19162",,,,"1487",,,,,,,,,,,"904",,"748",,,,,
"00016","City of Longview, dba: RiverCities Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Longview","WA","22","DR","Demand Response","PT","10","51283","Longview, WA--OR","35.19","69841","31.00","61598","","Annual Total",,,"147968","133148","14820",,"17417","15762","1655","0","0",,,,,,,,"36301","36301","0","111788",,,,
"00016","City of Longview, dba: RiverCities Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Longview","WA","22","MB","Bus","DO","12","51283","Longview, WA--OR","35.19","69841","31.00","61598","","Annual Total",,,"376202","364453","11749","365240","29700","28670","1030","0","0",,,,,,,,"271500",,,"1045275",,,,
"00017","Stillaguamish Tribe of Indians, dba: Stillaguamish Tribal Transportation Services","Reduced Reporter","Tribe","2024","Arlington","WA","5","DR","Demand Response","DO","5","00053","Washington Non-UZA","0.00","1895776",,,"","Annual Total",,,,"30337",,,,"989",,,,,,,,,,,"4020",,"775",,,,,
"00018","Ben Franklin Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Richland","WA","294","DR","Demand Response","DO","61","44479","Kennewick--Richland--Pasco, WA","112.21","255401","624.00","287689","","Annual Total",,,"1973410","1749832","223578",,"114344","104327","10017",,,,,,,,,,"240946","199400",,"1923473",,,,
"00018","Ben Franklin Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Richland","WA","294","DR","Demand Response","PT","39","44479","Kennewick--Richland--Pasco, WA","112.21","255401","624.00","287689","","Annual Total",,,"1154726","1006778","147948",,"81089","59921","21168",,,,,,,,,,"170506","63485",,"927139",,,,
"00018","Ben Franklin Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Richland","WA","294","MB","Bus","DO","51","44479","Kennewick--Richland--Pasco, WA","112.21","255401","624.00","287689","","Annual Total",,,"3744973","3569623","175350","3694565","230866","223592","7274","30",,,,,,,,,"2786983",,,"12781348",,,,
"00018","Ben Franklin Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Richland","WA","294","VP","Vanpool","DO","143","44479","Kennewick--Richland--Pasco, WA","112.21","255401","624.00","287689","","Annual Total",,,"2066327","2066327","0",,"46663","46663","0",,,,,,,,,,"328141",,,"11352016",,,,
"00019","Intercity Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Olympia","WA","243","CB","Commuter Bus","DO","8","65242","Olympia--Lacey, WA","106.21","208157","101.00","206183","","Annual Total",,,"379995","372133","7862","385816","16331","15752","579","0","0",,,,,,,,"155507",,,"2554115",,,,
"00019","Intercity Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Olympia","WA","243","DR","Demand Response","DO","45","65242","Olympia--Lacey, WA","106.21","208157","101.00","206183","","Annual Total",,,"928363","812190","116173",,"94122","78361","15761",,,,,,,,,,"137998","111629",,"804710",,,,
"00019","Intercity Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Olympia","WA","243","MB","Bus","DO","54","65242","Olympia--Lacey, WA","106.21","208157","101.00","206183","","Annual Total",,,"3371777","3251046","120731","3290640","243116","236495","6621","0","0",,,,,,,,"4087404",,,"15187369",,,,
"00019","Intercity Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Olympia","WA","243","VP","Vanpool","DO","136","65242","Olympia--Lacey, WA","106.21","208157","101.00","206183","","Annual Total",,,"2612749","2612749","0",,"73959","73959","0",,,,,,,,,,"208164",,,"7358241",,,,
"00020","Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Bremerton","WA","213","DR","Demand Response","DO","67","09946","Bremerton, WA","146.91","224449","396.00","254183","","Annual Total",,,"1525001","1348846","176155",,"103627","89628","13999","0","0",,,,,,,,"263324","174173","0","2055807",,,,
"00020","Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Bremerton","WA","213","DR","Demand Response","TX","2","09946","Bremerton, WA","146.91","224449","396.00","254183","","Annual Total",,,,"29619",,,,"2553",,,,,,,,,,,"1907","1907","0","30920",,"282","0","0"
"00020","Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Bremerton","WA","213","FB","Ferryboat","DO","6","09946","Bremerton, WA","146.91","224449","396.00","254183","","Annual Total",,,"352379","337427","14952","344332","19455","18657","798","0",,,,,,,,,"1229269",,,"13718486","100.09",,,
"00020","Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Bremerton","WA","213","MB","Bus","DO","97","09946","Bremerton, WA","146.91","224449","396.00","254183","","Annual Total",,,"2742592","2336300","406292","2332581","143519","123088","20431","0","0",,,,,,,,"1655636",,,"10656652",,,,
"00020","Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Bremerton","WA","213","VP","Vanpool","DO","41","09946","Bremerton, WA","146.91","224449","396.00","254183","","Annual Total",,,"453489","453489","0",,"15117","15117","0","0","0",,,,,,,,"66885",,,"1695694",,,,
"00021","Whatcom Transportation Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Bellingham","WA","103","DR","Demand Response","DO","43","06652","Bellingham, WA","50.13","128979","776.00","237806","","Annual Total",,,"1046973","911228","135745",,"71794","63198","8596","0","0",,,,,,,,"188042","179826","0","1067133",,,,
"00021","Whatcom Transportation Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Bellingham","WA","103","MB","Bus","DO","48","06652","Bellingham, WA","50.13","128979","776.00","237806","","Annual Total",,,"2303550","2151307","152243","2152172","165326","156754","8572","0","0",,,,,,,,"3760005",,,"10974864",,,,
"00021","Whatcom Transportation Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Bellingham","WA","103","VP","Vanpool","DO","12","06652","Bellingham, WA","50.13","128979","776.00","237806","","Annual Total",,,"201162","201162","0",,"3601","3601","0",,,,,,,,,,"29687",,,"1112645",,,,
"00022","City of Pocatello, dba: Pocatello Regional Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","2024","Pocatello","ID","24","DR","Demand Response","DO","13","70426","Pocatello, ID","27.46","72211","5460.00","175045","","Annual Total",,,,"365119",,,,"20130",,,,,,,,,,,"70740",,"26086",,,,,
"00022","City of Pocatello, dba: Pocatello Regional Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","2024","Pocatello","ID","24","MB","Bus","DO","11","70426","Pocatello, ID","27.46","72211","5460.00","175045","","Annual Total",,,,"256241",,,,"17049",,,,,,,,,,,"128019",,,,,,,
"00023","City of Seattle, dba: Seattle Center Monorail","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Seattle","WA","8","MG","Monorail/Automated Guideway","PT","8","80389","Seattle--Tacoma, WA","982.52","3544011","83.00","753655","","Annual Total",,,"222498","222498","0","222498","21336","21336","0",,,,"55625","55625","0","5334","5334","0","2160883",,,"1944795","1.80",,,
"00024","Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Vancouver","WA","167","DR","Demand Response","DO","57","71317","Portland, OR--WA","519.30","2104238","143.00","457472","","Annual Total",,,"2020409","1820495","199914",,"116454","106031","10423","0","0",,,,,,,,"287792","253472","0","2067498",,,,
"00024","Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Vancouver","WA","167","MB","Bus","DO","95","71317","Portland, OR--WA","519.30","2104238","143.00","457472","","Annual Total",,,"4514074","4010328","503746","4158739","308364","286983","21381","0","0",,,,,,,,"4657393",,,"16312907","3.35",,,
"00024","Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Vancouver","WA","167","VP","Vanpool","DO","15","71317","Portland, OR--WA","519.30","2104238","143.00","457472","","Annual Total",,,"162435","162435","0",,"5098","5098","0","0","0",,,,,,,,"20509",,,"478160",,,,
"00025","Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Salem","OR","139","DR","Demand Response","PT","31","78229","Salem, OR","72.68","268331","78.00","309881","","Annual Total",,,"645826","594006","51820",,"55266","49577","5689","0","0",,,,,,,,"104912","97780","7132","616679",,,,
"00025","Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Salem","OR","139","MB","Bus","DO","55","78229","Salem, OR","72.68","268331","78.00","309881","","Annual Total",,,"2696771","2526908","169863","2547953","213158","206182","6976","0","0",,,,,,,,"3228778",,,"8373576",,,,
"00025","Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Salem","OR","139","MB","Bus","PT","13","78229","Salem, OR","72.68","268331","78.00","309881","","Annual Total",,,"598342","522268","76074","586594","30538","24220","6318","0","0",,,,,,,,"106952",,,"1464389",,,,
"00025","Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Salem","OR","139","VP","Vanpool","PT","40","78229","Salem, OR","72.68","268331","78.00","309881","","Annual Total",,,"492347","492347","0",,"12055","12055","0","0","0",,,,,,,,"84003",,,"2133221",,,,
"00028","County of Pierce, dba: Pierce County Ferry","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Tacoma","WA","2","FB","Ferryboat","PT","2","80389","Seattle--Tacoma, WA","982.52","3544011","233.00","925708","","Annual Total",,,"43216","43216","0","44362","5396","5396","0","0",,,,,,,,,"450636",,,"1774340","8.62",,,
"00029","Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Everett","WA","563","CB","Commuter Bus","DO","24","80389","Seattle--Tacoma, WA","982.52","3544011","257.00","920344","","Annual Total",,,"754005","405825","348180","402626","30583","18788","11795",,,,,,,,,,"238373",,,"3889750",,,,
"00029","Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Everett","WA","563","CB","Commuter Bus","PT","39","80389","Seattle--Tacoma, WA","982.52","3544011","257.00","920344","","Annual Total",,,"1208325","538257","670068","539623","45735","23012","22723",,,,,,,,,,"486155",,,"8688859",,,,
"00029","Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Everett","WA","563","DR","Demand Response","PT","58","80389","Seattle--Tacoma, WA","982.52","3544011","257.00","920344","","Annual Total",,,"1975951","1635027","340924",,"129785","113113","16672",,,,,,,,,,"218546","151053",,"1898566",,,,
"00029","Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Everett","WA","563","MB","Bus","DO","141","80389","Seattle--Tacoma, WA","982.52","3544011","257.00","920344","","Annual Total",,,"8417488","6956501","1460987","6917287","551732","494750","56982",,,,,,,,,,"7039896",,,"38570300","34.32",,,
"00029","Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Everett","WA","563","MB","Bus","PT","18","80389","Seattle--Tacoma, WA","982.52","3544011","257.00","920344","","Annual Total",,,"324227","219321","104906","219226","14485","10830","3655",,,,,,,,,,"61472",,,"721729","28.80",,,
"00029","Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Everett","WA","563","VP","Vanpool","DO","283","80389","Seattle--Tacoma, WA","982.52","3544011","257.00","920344","","Annual Total",,,"2764318","2764318","0",,"84300","84300","0",,,,,,,,,,"381964",,,"8964002",,,,
"00030","Chickaloon Native Village, dba: Chickaloon Area Transit System (Transit)","Reduced Reporter","Tribe","2024","Palmer","AK","3","DR","Demand Response","DO","3","00002","Alaska Non-UZA","0.00","359299",,,"","Annual Total",,,,"32313",,,,"2107",,,,,,,,,,,"3015",,"0",,,,,
"00031","Shoshone-Bannock Tribes","Reduced Reporter","Tribe","2024","Fort Hall","ID","7","MB","Bus","DO","7","00016","Idaho Non-UZA","0.00","836252",,,"","Annual Total",,,,"258228",,,,"12829",,,,,,,,,,,"19923",,,,,,,
