"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fares","fares_questionable","park_and_ride","park_and_ride_questionable","concessions","concessions_questionable","advertising","advertising_questionable","other","other_questionable","purchased_transportation","purchased_transportation_1","total","total_questionable"
"Rogue Valley Transportation District","Medford","OR","00034","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","55981","Medford, OR","171640","52","1125467",,,,,,"99300",,"0",,,,"1224767",
"Washington State Ferries","Olympia","WA","00035","State Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","15","60487624",,,,"1765642",,"242687",,"0",,,,"62495953",
"Makah Tribal Council","Neah Bay","WA","00036","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","1","0",,,,,,,,,,,,"0",
"Central Puget Sound Regional Transit Authority, dba: Sound Transit","Seattle","WA","00040","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","429","62523329",,,,,,"2997677",,"0",,,,"65521006",
"Alaska Railroad Corporation","Anchorage","AK","00041","State Government Unit or Department of Transportation","Full Reporter","2024","02305","Anchorage, AK","249252","59","37986551",,,,"780397",,,,"0",,,,"38766948",
"Chelan Douglas PTBA, dba: Link Transit","Wenatchee","WA","00043","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","93862","Wenatchee, WA","78142","82","30495",,,,,,,,"0",,,,"30495",
"Skagit Transit","Burlington","WA","00044","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","60490","Mount Vernon, WA","66825","79","752410",,,,,,,,"0",,,,"752410",
"Fairbanks North Star Borough, dba: Metropolitan Area Commuter System","Fairbanks","AK","00045","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","28549","Fairbanks, AK","71396","20","268417",,,,,,,,"48752",,,,"317169",
"City of Wilsonville, dba: South Metro Area Regional Transit","Wilsonville","OR","00046","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","71317","Portland, OR--WA","2104238","19","36573",,,,,,,,"0",,,,"36573",
"City of Corvallis, dba: Corvallis Transit System","Corvallis","OR","00047","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","20422","Corvallis, OR","66791","10","0",,,,,,,,"187431",,"0",,"187431",
"City of Lewiston, dba: Lewiston Transit System","Lewiston","ID","00048","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","49312","Lewiston, ID--WA","54798","5","43215",,,,,,,,"82416",,"0",,"125631",
"Asotin County Public Transportation Benefit Area","Clarkston","WA","00051","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","49312","Lewiston, ID--WA","54798","13","113758",,,,,,,,"6100",,,,"119858",
"Coeur d'Alene Tribe, dba: Citylink Transit","Plummer","ID","00053","Tribe","Reduced Reporter","2024","18451","Coeur d'Alene, ID","121831","7","0",,,,,,,,"0",,"0",,"0",
"Kootenai County, dba: Citylink North","Coeur D Alene","ID","00055","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","18451","Coeur d'Alene, ID","121831","4","0",,,,,,,,"0",,"0",,"0",
"Central Oregon Intergovernmental Council, dba: Cascades East Transit","Bend","OR","00057","MPO, COG or Other Planning Agency","Full Reporter","2024","06868","Bend, OR","106988","90","339199",,,,,,"40800",,"0",,"0",,"379999",
"City of Portland, dba: Portland Streetcar","Portland","OR","00058","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","71317","Portland, OR--WA","2104238","14","1173943",,,,,,"451830",,"0",,,,"1625773",
"Josephine County, dba: Josephine Community Transit","Grants Pass","OR","00059","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","34516","Grants Pass, OR","55724","18","111717",,,,,,,,,,"137500",,"249217",
"City of Albany, dba: Albany Transit System, Linn-Benton Loop","Albany","OR","00061","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00955","Albany, OR","62074","15","0",,,,,,,,,,,,"0",
"City of Milton-Freewater","Milton Freewater","OR","00063","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","2814",,,,,,,,,,,,"2814",
"Valley Transit","Walla Walla","WA","00064","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","91405","Walla Walla, WA--OR","50013","19","56329",,,,,,,,"7000",,,,"63329",
"Benton County, dba: Benton Area Transit","Corvallis","OR","00065","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","20422","Corvallis, OR","66791","13","38288",,,,,,,,"0",,"307872",,"346160",
"Confederated Tribes of the Grand Ronde Community of Oregon","Grand Ronde","OR","00075","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA",,"0",,,,,,,,,,,,,,
"Gulkana Village Council, dba: Soaring Eagle Transit","Gakona","AK","00085","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","75351",,,,,,,,"0",,"0",,"75351",
"Lummi Nation, dba: Lummi Transit","Bellingham","WA","00095","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","4","0",,,,,,,,"0",,"0",,"0",
"Squaxin Island Tribe, dba: Squaxin Island Transit","Shelton","WA","00103","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","0",,,,,,,,,,,,"0",
"Confederated Tribes and Bands of The Yakama Nation, dba: Pahto Public Passage","Toppenish","WA","00111","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","7","0",,,,,,,,"22688",,"0",,"22688",
"Confederated Tribes of the Umatilla Indian Reservation, dba: Kayak Public Transit","Pendleton","OR","00119","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","8","0",,,,,,,,,,,,"0",
"Cowlitz Indian Tribe, dba: Cowlitz Tribe Transit Service","Longview","WA","00127","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","8","4006",,,,,,,,"0",,"0",,"4006",
"Nez Perce Tribe, dba: Appaloosa Express","Lapwai","ID","00135","Tribe","Reduced Reporter","2024","00016","Idaho Non-UZA","836252","4","6090",,,,,,,,"0",,"0",,"6090",
"Asa'carsarmiut Tribe, dba: Asa'carsarmiut Tribal Council Transit Service","Mountain Village","AK","00143","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0",,,,,,,,"0",,"0",,"0",
"Seldovia Village Tribe, dba: Seldovia Bay Ferry","Seldovia","AK","00199","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","672504",,,,,,,,"0",,"0",,"672504",
"Spokane Tribe of Indians, dba: The Moccasin Express","Wellpinit","WA","00207","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","10","16250",,,,,,,,,,,,"16250",
"Jamestown S'Klallam Tribe","Sequim","WA","00223","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","0",,,,,,,,,,,,,,
"Confederated Tribes of Warm Springs","Warm Springs","OR","00231","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","0",,,,,,,,,,,,,,
"Ketchikan Indian Community","Ketchikan","AK","00239","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","4","0",,,,,,,,,,,,"0",
"Nome Eskimo Community","Nome","AK","00271","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA",,"0",,,,,,,,,,,,,,
"Hydaburg Cooperative Association, dba: HCA transit","Hydaburg","AK","00279","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","2900",,,,,,,,"0",,"0",,"2900",
"Garfield County Transportation Program, dba: Garfield County Transportation Authority","Pomeroy","WA","00282","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","3400",,,,,,,,,,,,"3400",
"Thurston Regional Planning Council, dba: ruralTRANSIT","Olympia","WA","00285","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"6","0",,,,,,,,,,,,"0",
"Rural Resources Community Action","Colville","WA","00286","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","8667",,,,,,,,,,,,"8667",
"People for People Moses Lake","Yakima","WA","00287","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"26","1529",,,,,,,,"418024",,,,"419553",
"City of Pullman, dba: Pullman Transit","Pullman","WA","00294","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","1636416",,,,,,,,,,,,"1636416",
"Tillamook County Transportation District, dba: The Wave","Tillamook","OR","00296","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","462600",,,,,,,,"780033",,"0",,"1242633",
"People for People Yakima","Yakima","WA","00297","Private-Non-Profit Corporation","Reduced Reporter","2024","97507","Yakima, WA","133145","17","560",,,,,,,,"291446",,,,"292006",
"Island Transit","Coupeville","WA","00298","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"57","178341",,,,,,,,"1809327",,,,"1987668",
"Klickitat County Senior Services, dba: Mount Adams Transportation Service","Goldendale","WA","00299","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","44100",,,,,,,,,,,,"44100",
"City of Silverton, dba: Silver Trolley","Silverton","OR","00300","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","1944",,,,,,,,,,"0",,"1944",
"South Clackamas Transportation District","Molalla","OR","00301","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"4","22854",,,,,,,,"0",,"0",,"22854",
"Clallam Transit System","Port Angeles","WA","00303","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"56","341054",,,,,,,,"116999",,,,"458053",
"Coos County Area Transit","Coos Bay","OR","00307","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","129970",,,,,,,,"56212",,"0",,"186182",
"Curry County Public Transit Service District, dba: Curry Public Transit Inc","Brookings","OR","00308","Private Provider Reporting on Behalf of a Public Entity","Rural Reporter","2024",,,,"11","75367",,,,,,,,"55508",,,,"130875",
"Grant County Transportation Authority, dba: Grant Transit Authority","Moses Lake","WA","00309","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"46","79198",,,,,,,,,,,,"79198",
"Lincoln County Transportation Service District, dba: Lincoln County Transit","Newport","OR","00310","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","179170",,,,,,,,"269874",,"0",,"449044",
"Mountain Rides Transportation Authority","Ketchum","ID","00311","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"34","200277",,,,,,,,,,,,"200277",
"Hopesource","Ellensburg","WA","00312","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"14","0",,,,,,,,"1736",,,,"1736",
"Grant County Transportation District, dba: The People Mover","John Day","OR","00313","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","277642",,,,,,,,"10400",,"0",,"288042",
"Grays Harbor Transit","Hoquiam","WA","00314","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"46","81625",,,,,,,,"1532772",,,,"1614397",
"Mason County Transportation Authority, dba: Mason Transit Authority","Shelton","WA","00315","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"35","79162",,,,,,,,,,,,"79162",
"Jefferson Transit","Port Townsend","WA","00316","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","0",,,,,,,,,,,,"0",
"Mt Si Senior Center, dba: Snoqualmie Valley Transportation","North Bend","WA","00317","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","14037",,,,,,,,,,,,"14037",
"Hood River County Transportation District, dba: Columbia Area Transit","Hood River","OR","00319","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","173042",,,,,,,,"0",,"0",,"173042",
"Center for Community","Sitka","AK","00320","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"0",,,,,,,,,"0",,"0",,"0",
"Yamhill County, dba: Yamhill County Transit","Mcminnville","OR","00321","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"26","0",,,,,,,,"9618",,"0",,"9618",
"Pacific Transit","Raymond","WA","00322","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"14","50292",,,,,,,,,,,,"50292",
"Malheur Council on Aging and Community Services","Ontario","OR","00323","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","160448",,,,,,,,"41434",,,,"201882",
"Valley Transit","Wasilla","AK","00327","Private-Non-Profit Corporation","Reduced Reporter","2024","92459","Wasilla--Knik-Fairview--North Lakes, AK","53444","10","203371",,,,,,,,"0",,"0",,"203371",
"City of Canby","Canby","OR","00330","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","71317","Portland, OR--WA","2104238","9","54871",,,,,,,,"2000",,,,"56871",
"Sunset Empire Transportation District","Astoria","OR","00331","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","87669",,,,,,,,"4521",,"0",,"92190",
"Okanogan County Transportation & Nutrition","Omak","WA","00332","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12","120075",,,,,,,,,,,,"120075",
"Council on Aging & Human Services, dba: COAST Public Transportation","Colfax","WA","00333","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"19","0",,,,,,,,"381483",,,,"381483",
"Skamania County Senior Services","Stevenson","WA","00336","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","24325",,,,,,,,,,,,"24325",
"Basin Transit Service, dba: Basin Transit Service Transportation District","Klamath Falls","OR","00339","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","138805",,,,,,,,"105074",,"0",,"243879",
"Senior Citizens of Kodiak, Inc., dba: Kodiak Area Transportation System","Kodiak","AK","00340","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","22065",,,,,,,,"0",,"0",,"22065",
"Selkirks-Pend Oreille Transit Authority","Dover","ID","00341","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"14","0",,,,,,,,,,,,"0",
"Community Connection of Northeast Oregon, dba: NEOTransit","La Grande","OR","00343","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"20","64636",,,,,,,,"0",,"0",,"64636",
"Glacier Valley Transit","Girdwood","AK","00345","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","20229",,,,,,,,"0",,"0",,"20229",
"Regional Public Transportation, Inc., dba: SMART Transit","Moscow","ID","00347","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","31838",,,,,,,,,,,,"31838",
"Senior Citizens of Sweet Home, Inc.","Sweet Home","OR","00348","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","41765",,,,,,,,"0",,"0",,"41765",
"Catholic Community Service, Sitka, dba: Catholic Community Service","Juneau","AK","00354","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","1456",,,,,,,,"0",,"0",,"1456",
"Ketchikan Gateway Borough, dba: The Bus","Ketchikan","AK","00358","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","274363",,,,,,,,"0",,"0",,"274363",
"City of Pendleton, dba: Let'Er Bus","Pendleton","OR","00359","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","19806",,,,,,,,"0",,"0",,"19806",
"City of Woodburn, dba: Woodburn Transit System","Woodburn","OR","00360","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0",,,,,,,,,,,,"0",
"Clackamas County, dba: Mt Hood Express and #ClackCo Shuttles","Oregon City","OR","00363","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","71317","Portland, OR--WA","2104238","22","105006",,,,,,,,"0",,"0",,"105006",
"Lewis County Transit","Centralia","WA","00364","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"20","54224",,,,,,,,"123833",,,,"178057",
"Lower Columbia Community Action Council, dba: Lower Columbia CAP","Longview","WA","00368","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","20880",,,,,,,,,,"87030",,"107910",
"Wahkiakum County, dba: Wahkiakum on the Move","Cathlamet","WA","00371","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","65152",,,,,,,,,,,,"65152",
"Treasure Valley Transit","Nampa","ID","00373","Private-Non-Profit Corporation","Reduced Reporter","2024","60976","Nampa, ID","177561","26","554253",,,,,,,,"415041",,,,"969294",
"Harney County, dba: Harney Hub Transit","Burns","OR","00374","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","39684",,,,,,,,"0",,"0",,"39684",
"Columbia County, dba: Columbia County Rider Transportation","Saint Helens","OR","00375","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","44177",,,,,,,,"81851",,,,"126028",
"Ride Connection, Inc.","Portland","OR","00376","Private-Non-Profit Corporation","Full Reporter","2024","71317","Portland, OR--WA","2104238","68","34429",,,,,,,,"0",,,,"34429",
"City of Lebanon, dba: Lebanon Interneighborhood Express","Lebanon","OR","00377","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","2289",,,,,,,,"1025",,"0",,"3314",
"Central Area Rural Transit System, Inc., dba: Central Area Rural Transit System","Soldotna","AK","00378","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"22","219714",,,,,,,,"32684",,"0",,"252398",
"Inter-Island Ferry Authority","Craig","AK","00382","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"1","2066894",,,,,,,,"1441589",,"0",,"3508483",
"Columbia County Public Transportation","Dayton","WA","00383","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","10540",,,,,,,,,,,,"10540",
"Special Mobility Services","Portland","OR","00386","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","15538",,,,,,,,,,,,"15538",
"City of Bethel, dba: Bethel Transit System","Bethel","AK","00387","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","28088",,,,,,,,"0",,"0",,"28088",
"City of Sandy","Sandy","OR","00389","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","62714",,,,,,,,,,,,"62714",
"City and Borough of Juneau, dba: Capital Transit","Juneau","AK","00391","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"20","599688",,,,,,,,"2000",,"0",,"601688",
"Mid-Columbia Economic Development District","The Dalles","OR","00396","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","73365",,,,,,,,"7407",,"49645",,"130417",
"Coastal Community Action Program","Aberdeen","WA","00398","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","3039",,,,,,,,"54137",,,,"57176",
"Sunshine Transit","Talkeetna","AK","00399","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","139288",,,,,,,,"0",,"0",,"139288",
"Gwichyaa Zhee Tribal Transit Service, dba: Native Village of Fort Yukon","Fort Yukon","AK","00400","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","1016",,,,,,,,"0",,"0",,"1016",
"Lower Elwha Klallam Tribe","Port Angeles","WA","00401","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","1","0",,,,,,,,"0",,"0",,"0",
"Lemhi Ride","Salmon","ID","00403","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","59708",,,,,,,,,,,,"59708",
"Shoshone County","Wallace","ID","00404","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0",,,,,,,,,,,,"0",
"Okanogan County Transit Authority, dba: TranGO","Okanogan","WA","00405","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16","100876",,,,,,,,,,,,"100876",
"Muckleshoot Indian Tribe","Auburn","WA","00407","Tribe","Reduced Reporter","2024","80389","Seattle--Tacoma, WA","3544011","7","0",,,,,,,,,,,,"0",
"Morrow County, dba: Morrow County Loop","Heppner","OR","00409","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","28375",,,,,,,,"0",,"0",,"28375",
"Ninilchik Village, dba: BUMPS (Basic Unified Multi Path Services)","Ninilchik","AK","00414","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","3753",,,,,,,,,,,,"3753",
"Ada County Highway District, dba: ACHD Commuteride",,"ID","00415","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","08785","Boise City, ID","433180","88","943788",,,,,,,,"0",,,,"943788",
"Boise State University, dba: Bronco Shuttles","Boise","ID","00416","University","Reduced Reporter","2024","08785","Boise City, ID","433180","10","0",,,,,,,,"893701",,"0",,"893701",
"Kenaitze Indian Tribe","Kenai","AK","00419","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","7","0",,,,,,,,"0",,"0",,"0",
"Native Village of Unalakleet","Unalakleet","AK","00420","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0",,,,,,,,"0",,"0",,"0",
"Umpqua Public Transportation District","Roseburg","OR","00459","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","120142",,,,,,,,"602043",,"0",,"722185",
"Craig Tribal Association","Craig","AK","00460","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","21051",,,,,,,,"55621",,,,"76672",
"Petersburg Indian Association","Petersburg","AK","00463","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0",,,,,,,,"0",,"0",,"0",
"Lane Council of Governments, dba: Link Lane","Eugene","OR","00464","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"6","85519",,,,,,,,,,,,"85519",
