"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","general_fund","income_tax","sales_tax","property_tax","fuel_tax","other_taxes","tolls","other_funds","reduced_reporter_funds","total"
"Skagit Transit","Burlington","WA","00044","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","60490","Mount Vernon, WA","66825","79","0","0","0","0","0","0","0","0","0","0"
"Fairbanks North Star Borough, dba: Metropolitan Area Commuter System","Fairbanks","AK","00045","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","28549","Fairbanks, AK","71396","20","0","0","0","0","0","0","0","0","9135449","9135449"
"City of Wilsonville, dba: South Metro Area Regional Transit","Wilsonville","OR","00046","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","71317","Portland, OR--WA","2104238","19","77736","0","0","0","0","5989921","0","0","0","6067657"
"City of Corvallis, dba: Corvallis Transit System","Corvallis","OR","00047","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","20422","Corvallis, OR","66791","10","0","0","0","0","0","0","0","0","1544838","1544838"
"City of Lewiston, dba: Lewiston Transit System","Lewiston","ID","00048","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","49312","Lewiston, ID--WA","54798","5","0","0","0","0","0","0","0","0","599865","599865"
"Asotin County Public Transportation Benefit Area","Clarkston","WA","00051","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","49312","Lewiston, ID--WA","54798","13","0","0","0","0","0","0","0","0","1343699","1343699"
"Coeur d'Alene Tribe, dba: Citylink Transit","Plummer","ID","00053","Tribe","Reduced Reporter","2024","18451","Coeur d'Alene, ID","121831","7","0","0","0","0","0","0","0","0","277722","277722"
"Kootenai County, dba: Citylink North","Coeur D Alene","ID","00055","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","18451","Coeur d'Alene, ID","121831","4","0","0","0","0","0","0","0","0","149056","149056"
"Central Oregon Intergovernmental Council, dba: Cascades East Transit","Bend","OR","00057","MPO, COG or Other Planning Agency","Full Reporter","2024","06868","Bend, OR","106988","90","1367827","0","0","0","0","0","0","0","0","1367827"
"City of Portland, dba: Portland Streetcar","Portland","OR","00058","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","71317","Portland, OR--WA","2104238","14","10503822","0","0","0","0","14559676","0","0","0","25063498"
"Josephine County, dba: Josephine Community Transit","Grants Pass","OR","00059","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","34516","Grants Pass, OR","55724","18","0","0","0","0","0","0","0","0","3302471","3302471"
"City of Albany, dba: Albany Transit System, Linn-Benton Loop","Albany","OR","00061","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00955","Albany, OR","62074","15","0","0","0","0","0","0","0","0","394491","394491"
"City of Milton-Freewater","Milton Freewater","OR","00063","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","88661","88661"
"Valley Transit","Walla Walla","WA","00064","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","91405","Walla Walla, WA--OR","50013","19","0","0","0","0","0","0","0","0","5540262","5540262"
"Benton County, dba: Benton Area Transit","Corvallis","OR","00065","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","20422","Corvallis, OR","66791","13","0","0","0","0","0","0","0","0","16748","16748"
"Confederated Tribes of the Grand Ronde Community of Oregon","Grand Ronde","OR","00075","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA",,"0","0","0","0","0","0","0","0","0","37242","37242"
"Gulkana Village Council, dba: Soaring Eagle Transit","Gakona","AK","00085","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","0","0","0","0","0","0","0","0","13254","13254"
"Lummi Nation, dba: Lummi Transit","Bellingham","WA","00095","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","4","0","0","0","0","0","0","0","0","65000","65000"
"Squaxin Island Tribe, dba: Squaxin Island Transit","Shelton","WA","00103","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","0","0","0","0","0","0","0","0","0","0"
"Confederated Tribes and Bands of The Yakama Nation, dba: Pahto Public Passage","Toppenish","WA","00111","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","7","0","0","0","0","0","0","0","0","0","0"
"Confederated Tribes of the Umatilla Indian Reservation, dba: Kayak Public Transit","Pendleton","OR","00119","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","8","0","0","0","0","0","0","0","0","597133","597133"
"Cowlitz Indian Tribe, dba: Cowlitz Tribe Transit Service","Longview","WA","00127","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","8","0","0","0","0","0","0","0","0","0","0"
"Nez Perce Tribe, dba: Appaloosa Express","Lapwai","ID","00135","Tribe","Reduced Reporter","2024","00016","Idaho Non-UZA","836252","4","0","0","0","0","0","0","0","0","125125","125125"
"Asa'carsarmiut Tribe, dba: Asa'carsarmiut Tribal Council Transit Service","Mountain Village","AK","00143","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","0","0","0","0","0","0","0","0"
"Seldovia Village Tribe, dba: Seldovia Bay Ferry","Seldovia","AK","00199","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","0","0","0","0","0","0","20944","20944"
"Spokane Tribe of Indians, dba: The Moccasin Express","Wellpinit","WA","00207","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","10","0","0","0","0","0","0","0","0","232580","232580"
"Jamestown S'Klallam Tribe","Sequim","WA","00223","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","0","0","0","0","0","0","0","0","0","0","0"
"Confederated Tribes of Warm Springs","Warm Springs","OR","00231","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","0","0","0","0","0","0","0","0","0","588","588"
"Ketchikan Indian Community","Ketchikan","AK","00239","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","4","0","0","0","0","0","0","0","0","0","0"
"Nome Eskimo Community","Nome","AK","00271","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA",,"0","0","0","0","0","0","0","0","0","0","0"
"Hydaburg Cooperative Association, dba: HCA transit","Hydaburg","AK","00279","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","0","0","0","0","0","0","0","0"
"Garfield County Transportation Program, dba: Garfield County Transportation Authority","Pomeroy","WA","00282","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","11849","11849"
"Thurston Regional Planning Council, dba: ruralTRANSIT","Olympia","WA","00285","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","225883","225883"
"Rural Resources Community Action","Colville","WA","00286","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","0","0"
"People for People Moses Lake","Yakima","WA","00287","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"26","0","0","0","0","0","0","0","0","0","0"
"City of Pullman, dba: Pullman Transit","Pullman","WA","00294","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","0","0","0","0","0","0","0","0","1047290","1047290"
"Tillamook County Transportation District, dba: The Wave","Tillamook","OR","00296","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","439742","439742"
"People for People Yakima","Yakima","WA","00297","Private-Non-Profit Corporation","Reduced Reporter","2024","97507","Yakima, WA","133145","17","0","0","0","0","0","0","0","0","0","0"
"Island Transit","Coupeville","WA","00298","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"57","0","0","0","0","0","0","0","0","6324674","6324674"
"Klickitat County Senior Services, dba: Mount Adams Transportation Service","Goldendale","WA","00299","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","0","0","0","0","0","0","0","0","708251","708251"
"City of Silverton, dba: Silver Trolley","Silverton","OR","00300","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","23698","23698"
"South Clackamas Transportation District","Molalla","OR","00301","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","879018","879018"
"Clallam Transit System","Port Angeles","WA","00303","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"56","0","0","0","0","0","0","0","0","12466520","12466520"
"Coos County Area Transit","Coos Bay","OR","00307","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","28500","28500"
"Curry County Public Transit Service District, dba: Curry Public Transit Inc","Brookings","OR","00308","Private Provider Reporting on Behalf of a Public Entity","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","0","0"
"Grant County Transportation Authority, dba: Grant Transit Authority","Moses Lake","WA","00309","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"46","0","0","0","0","0","0","0","0","842770","842770"
"Lincoln County Transportation Service District, dba: Lincoln County Transit","Newport","OR","00310","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","622303","622303"
"Mountain Rides Transportation Authority","Ketchum","ID","00311","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"34","0","0","0","0","0","0","0","0","1444153","1444153"
"Hopesource","Ellensburg","WA","00312","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"14","0","0","0","0","0","0","0","0","1527654","1527654"
"Grant County Transportation District, dba: The People Mover","John Day","OR","00313","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","0","0"
"Grays Harbor Transit","Hoquiam","WA","00314","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"46","0","0","0","0","0","0","0","0","12106598","12106598"
"Mason County Transportation Authority, dba: Mason Transit Authority","Shelton","WA","00315","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"35","0","0","0","0","0","0","0","0","1846895","1846895"
"Jefferson Transit","Port Townsend","WA","00316","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","4322417","4322417"
"Mt Si Senior Center, dba: Snoqualmie Valley Transportation","North Bend","WA","00317","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","1334072","1334072"
"Hood River County Transportation District, dba: Columbia Area Transit","Hood River","OR","00319","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","0","0"
"Center for Community","Sitka","AK","00320","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"0","0","0","0","0","0","0","0","0","1701","1701"
"Yamhill County, dba: Yamhill County Transit","Mcminnville","OR","00321","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"26","0","0","0","0","0","0","0","0","922786","922786"
"Pacific Transit","Raymond","WA","00322","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"14","0","0","0","0","0","0","0","0","2491779","2491779"
"Malheur Council on Aging and Community Services","Ontario","OR","00323","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","32000","32000"
"Valley Transit","Wasilla","AK","00327","Private-Non-Profit Corporation","Reduced Reporter","2024","92459","Wasilla--Knik-Fairview--North Lakes, AK","53444","10","0","0","0","0","0","0","0","0","386650","386650"
"City of Canby","Canby","OR","00330","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","71317","Portland, OR--WA","2104238","9","0","0","0","0","0","0","0","0","2131858","2131858"
"Sunset Empire Transportation District","Astoria","OR","00331","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","234773","234773"
"Okanogan County Transportation & Nutrition","Omak","WA","00332","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12","0","0","0","0","0","0","0","0","562778","562778"
"Council on Aging & Human Services, dba: COAST Public Transportation","Colfax","WA","00333","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"19","0","0","0","0","0","0","0","0","0","0"
"Skamania County Senior Services","Stevenson","WA","00336","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","0","0","0","0","0","0","0","208106","208106"
"Basin Transit Service, dba: Basin Transit Service Transportation District","Klamath Falls","OR","00339","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","1055813","1055813"
"Senior Citizens of Kodiak, Inc., dba: Kodiak Area Transportation System","Kodiak","AK","00340","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","24675","24675"
"Selkirks-Pend Oreille Transit Authority","Dover","ID","00341","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"14","0","0","0","0","0","0","0","0","240543","240543"
"Community Connection of Northeast Oregon, dba: NEOTransit","La Grande","OR","00343","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"20","0","0","0","0","0","0","0","0","614724","614724"
"Glacier Valley Transit","Girdwood","AK","00345","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","87621","87621"
"Regional Public Transportation, Inc., dba: SMART Transit","Moscow","ID","00347","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","198606","198606"
"Senior Citizens of Sweet Home, Inc.","Sweet Home","OR","00348","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","28500","28500"
"Catholic Community Service, Sitka, dba: Catholic Community Service","Juneau","AK","00354","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","20956","20956"
"Ketchikan Gateway Borough, dba: The Bus","Ketchikan","AK","00358","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","2592843","2592843"
"City of Pendleton, dba: Let'Er Bus","Pendleton","OR","00359","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","83600","83600"
"City of Woodburn, dba: Woodburn Transit System","Woodburn","OR","00360","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","20948","20948"
"Clackamas County, dba: Mt Hood Express and #ClackCo Shuttles","Oregon City","OR","00363","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","71317","Portland, OR--WA","2104238","22","0","0","0","0","0","0","0","0","396793","396793"
"Lewis County Transit","Centralia","WA","00364","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"20","0","0","0","0","0","0","0","0","3687079","3687079"
"Lower Columbia Community Action Council, dba: Lower Columbia CAP","Longview","WA","00368","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","0","0"
"Wahkiakum County, dba: Wahkiakum on the Move","Cathlamet","WA","00371","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","0","0","0","0","0","0","131504","131504"
"Treasure Valley Transit","Nampa","ID","00373","Private-Non-Profit Corporation","Reduced Reporter","2024","60976","Nampa, ID","177561","26","0","0","0","0","0","0","0","0","398495","398495"
"Harney County, dba: Harney Hub Transit","Burns","OR","00374","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","308037","308037"
"Columbia County, dba: Columbia County Rider Transportation","Saint Helens","OR","00375","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","0","0","0","0","0","0","88915","88915"
"Ride Connection, Inc.","Portland","OR","00376","Private-Non-Profit Corporation","Full Reporter","2024","71317","Portland, OR--WA","2104238","68","4204257","0","0","0","0","0","0","0","0","4204257"
"City of Lebanon, dba: Lebanon Interneighborhood Express","Lebanon","OR","00377","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","104978","104978"
"Central Area Rural Transit System, Inc., dba: Central Area Rural Transit System","Soldotna","AK","00378","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"22","0","0","0","0","0","0","0","0","0","0"
"Inter-Island Ferry Authority","Craig","AK","00382","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","0","0"
"Columbia County Public Transportation","Dayton","WA","00383","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","86295","86295"
"Special Mobility Services","Portland","OR","00386","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","109336","109336"
"City of Bethel, dba: Bethel Transit System","Bethel","AK","00387","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","0","0"
"City of Sandy","Sandy","OR","00389","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","0","0","0","0","0","0","1220034","1220034"
"City and Borough of Juneau, dba: Capital Transit","Juneau","AK","00391","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"20","0","0","0","0","0","0","0","0","5217055","5217055"
"Mid-Columbia Economic Development District","The Dalles","OR","00396","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","38120","38120"
"Coastal Community Action Program","Aberdeen","WA","00398","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","0","0"
"Sunshine Transit","Talkeetna","AK","00399","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","243091","243091"
"Gwichyaa Zhee Tribal Transit Service, dba: Native Village of Fort Yukon","Fort Yukon","AK","00400","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","0","0","0","0","0","0","0","0"
"Lower Elwha Klallam Tribe","Port Angeles","WA","00401","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","1","0","0","0","0","0","0","0","0","0","0"
"Lemhi Ride","Salmon","ID","00403","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","17920","17920"
"Shoshone County","Wallace","ID","00404","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","68638","68638"
"Okanogan County Transit Authority, dba: TranGO","Okanogan","WA","00405","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16","0","0","0","0","0","0","0","0","2321082","2321082"
"Muckleshoot Indian Tribe","Auburn","WA","00407","Tribe","Reduced Reporter","2024","80389","Seattle--Tacoma, WA","3544011","7","0","0","0","0","0","0","0","0","1313356","1313356"
"Morrow County, dba: Morrow County Loop","Heppner","OR","00409","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","0","0"
"Ninilchik Village, dba: BUMPS (Basic Unified Multi Path Services)","Ninilchik","AK","00414","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","0","0","0","0","0","0","0","0","25939","25939"
"Ada County Highway District, dba: ACHD Commuteride",,"ID","00415","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","08785","Boise City, ID","433180","88","272000","0","0","0","0","0","0","0","0","272000"
"Boise State University, dba: Bronco Shuttles","Boise","ID","00416","University","Reduced Reporter","2024","08785","Boise City, ID","433180","10","0","0","0","0","0","0","0","0","0","0"
"Kenaitze Indian Tribe","Kenai","AK","00419","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","7","0","0","0","0","0","0","0","0","540612","540612"
"Native Village of Unalakleet","Unalakleet","AK","00420","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","0","0","0","0","0","0","0","0"
"Umpqua Public Transportation District","Roseburg","OR","00459","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","0","0","0","0","0","0","0","0","0","0"
"Craig Tribal Association","Craig","AK","00460","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","0","0","0","0","0","0","0","0"
"Petersburg Indian Association","Petersburg","AK","00463","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","0","0","0","0","0","0","0","0"
