"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fta_urbanized_area_formula","fta_capital_program_5309","fta_rural_progam_5311","other_fta_funds","other_dot_funds","other_federal_funds","total_federal_funds"
"City of Seattle, dba: Seattle Center Monorail","Seattle","WA","00023","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","8","0","6310","0","0","0","0","6310"
"Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Vancouver","WA","00024","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","167","8714040","120272","0","397812","0","0","9232124"
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem","OR","00025","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78229","Salem, OR","268331","139","16516303","0","385902","1454734","189738","0","18546677"
"Bristol Bay Native Association","Dillingham","AK","00026","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","0","0","0","0","0","0","0","0"
"Confederated Tribes of Siletz Indians, dba: CTSI Planning Department","Siletz","OR","00027","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","0","0","0","327998","0","0","10928","338926"
"County of Pierce, dba: Pierce County Ferry","Tacoma","WA","00028","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2","0","0","0","0","414418","0","414418"
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","563","16154528","18794096","0","0","0","0","34948624"
"Chickaloon Native Village, dba: Chickaloon Area Transit System (Transit)","Palmer","AK","00030","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","0","0","139011","0","0","0","139011"
"Shoshone-Bannock Tribes","Fort Hall","ID","00031","Tribe","Reduced Reporter","2024","00016","Idaho Non-UZA","836252","7","0","0","323685","0","154369","0","478054"
"Senior Services of Snohomish County, dba: Homage Senior Services","Lynnwood","WA","00033","Private-Non-Profit Corporation","Reduced Reporter","2024","80389","Seattle--Tacoma, WA","3544011","11","0","0","0","30909","0","208568","239477"
"Rogue Valley Transportation District","Medford","OR","00034","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","55981","Medford, OR","171640","52","14825444","0","0","911235","240144","0","15976823"
"Washington State Ferries","Olympia","WA","00035","State Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","15","48078800","9841479","71","0","35638664","284523","93843537"
"Makah Tribal Council","Neah Bay","WA","00036","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","1","0","0","185217","0","0","0","185217"
"Central Puget Sound Regional Transit Authority, dba: Sound Transit","Seattle","WA","00040","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","429","233261044","27874872","0","0","2678623","6484803","270299342"
"Alaska Railroad Corporation","Anchorage","AK","00041","State Government Unit or Department of Transportation","Full Reporter","2024","02305","Anchorage, AK","249252","59","23566659","26819687","0","0","4559603","15968","54961917"
"Chelan Douglas PTBA, dba: Link Transit","Wenatchee","WA","00043","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","93862","Wenatchee, WA","78142","82","4110097","0","487456","106000","0","0","4703553"
"Skagit Transit","Burlington","WA","00044","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","60490","Mount Vernon, WA","66825","79","7278076","0","526193","2739754","0","0","10544023"
"Fairbanks North Star Borough, dba: Metropolitan Area Commuter System","Fairbanks","AK","00045","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","28549","Fairbanks, AK","71396","20","18969135","0","0","0","0","0","18969135"
"City of Wilsonville, dba: South Metro Area Regional Transit","Wilsonville","OR","00046","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","71317","Portland, OR--WA","2104238","19","846789","0","0","15625","9900","0","872314"
"City of Corvallis, dba: Corvallis Transit System","Corvallis","OR","00047","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","20422","Corvallis, OR","66791","10","2454837","0","0","0","0","0","2454837"
"City of Lewiston, dba: Lewiston Transit System","Lewiston","ID","00048","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","49312","Lewiston, ID--WA","54798","5","1152305","0","0","0","0","0","1152305"
"Asotin County Public Transportation Benefit Area","Clarkston","WA","00051","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","49312","Lewiston, ID--WA","54798","13","535499","0","0","0","0","0","535499"
"Coeur d'Alene Tribe, dba: Citylink Transit","Plummer","ID","00053","Tribe","Reduced Reporter","2024","18451","Coeur d'Alene, ID","121831","7","940904","0","1751951","0","0","0","2692855"
"Kootenai County, dba: Citylink North","Coeur D Alene","ID","00055","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","18451","Coeur d'Alene, ID","121831","4","1522021","0","0","56359","0","0","1578380"
"Central Oregon Intergovernmental Council, dba: Cascades East Transit","Bend","OR","00057","MPO, COG or Other Planning Agency","Full Reporter","2024","06868","Bend, OR","106988","90","3042688","0","1871141","1062087","23496","0","5999412"
"City of Portland, dba: Portland Streetcar","Portland","OR","00058","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","71317","Portland, OR--WA","2104238","14","0","0","0","0","0","0","0"
"Josephine County, dba: Josephine Community Transit","Grants Pass","OR","00059","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","34516","Grants Pass, OR","55724","18","2868893","0","392295","281399","0","0","3542587"
"City of Albany, dba: Albany Transit System, Linn-Benton Loop","Albany","OR","00061","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00955","Albany, OR","62074","15","1616132","0","0","159300","0","0","1775432"
"City of Milton-Freewater","Milton Freewater","OR","00063","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","126352","0","0","0","126352"
"Valley Transit","Walla Walla","WA","00064","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","91405","Walla Walla, WA--OR","50013","19","2659457","0","0","0","0","0","2659457"
"Benton County, dba: Benton Area Transit","Corvallis","OR","00065","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","20422","Corvallis, OR","66791","13","0","0","231120","285335","0","0","516455"
"Confederated Tribes of the Grand Ronde Community of Oregon","Grand Ronde","OR","00075","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA",,"0","0","0","56817","18770","0","6292","81879"
"Gulkana Village Council, dba: Soaring Eagle Transit","Gakona","AK","00085","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","0","0","318216","0","0","0","318216"
"Lummi Nation, dba: Lummi Transit","Bellingham","WA","00095","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","4","0","0","161626","0","3218","0","164844"
"Squaxin Island Tribe, dba: Squaxin Island Transit","Shelton","WA","00103","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","0","0","135774","0","0","138895","274669"
"Confederated Tribes and Bands of The Yakama Nation, dba: Pahto Public Passage","Toppenish","WA","00111","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","7","0","0","380559","0","0","0","380559"
"Confederated Tribes of the Umatilla Indian Reservation, dba: Kayak Public Transit","Pendleton","OR","00119","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","8","611317","0","1072567","47909","0","19992","1751785"
"Cowlitz Indian Tribe, dba: Cowlitz Tribe Transit Service","Longview","WA","00127","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","8","20368","0","16202","0","0","86776","123346"
"Nez Perce Tribe, dba: Appaloosa Express","Lapwai","ID","00135","Tribe","Reduced Reporter","2024","00016","Idaho Non-UZA","836252","4","0","0","1314360","0","0","0","1314360"
"Asa'carsarmiut Tribe, dba: Asa'carsarmiut Tribal Council Transit Service","Mountain Village","AK","00143","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","200356","0","20203","0","220559"
"Seldovia Village Tribe, dba: Seldovia Bay Ferry","Seldovia","AK","00199","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","0","0","0","0","0"
"Spokane Tribe of Indians, dba: The Moccasin Express","Wellpinit","WA","00207","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","10","0","0","677633","0","0","0","677633"
"Jamestown S'Klallam Tribe","Sequim","WA","00223","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","0","0","0","16331","0","0","0","16331"
"Confederated Tribes of Warm Springs","Warm Springs","OR","00231","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","0","0","0","0","0","0","0","0"
"Ketchikan Indian Community","Ketchikan","AK","00239","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","4","93000","0","52233","0","0","192583","337816"
"Nome Eskimo Community","Nome","AK","00271","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA",,"0","0","0","1242","0","0","932","2174"
"Hydaburg Cooperative Association, dba: HCA transit","Hydaburg","AK","00279","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","0","0","129567","0","129567"
"Garfield County Transportation Program, dba: Garfield County Transportation Authority","Pomeroy","WA","00282","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0"
"Thurston Regional Planning Council, dba: ruralTRANSIT","Olympia","WA","00285","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0"
"Rural Resources Community Action","Colville","WA","00286","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","0","892442","0","0","892442"
"People for People Moses Lake","Yakima","WA","00287","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"26","0","0","193999","562403","0","79216","835618"
"City of Pullman, dba: Pullman Transit","Pullman","WA","00294","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","0","0","1048795","0","0","0","1048795"
"Tillamook County Transportation District, dba: The Wave","Tillamook","OR","00296","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","76502","0","1651849","83558","0","0","1811909"
"People for People Yakima","Yakima","WA","00297","Private-Non-Profit Corporation","Reduced Reporter","2024","97507","Yakima, WA","133145","17","0","0","0","845395","0","219107","1064502"
"Island Transit","Coupeville","WA","00298","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"57","0","0","2218051","105728","0","0","2323779"
"Klickitat County Senior Services, dba: Mount Adams Transportation Service","Goldendale","WA","00299","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","0","0","0","0","0","0","0"
"City of Silverton, dba: Silver Trolley","Silverton","OR","00300","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","56887","4207","0","0","61094"
"South Clackamas Transportation District","Molalla","OR","00301","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"4","0","0","622096","38530","0","0","660626"
"Clallam Transit System","Port Angeles","WA","00303","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"56","0","0","1384476","0","0","0","1384476"
"Coos County Area Transit","Coos Bay","OR","00307","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","53952","0","752283","215312","0","0","1021547"
"Curry County Public Transit Service District, dba: Curry Public Transit Inc","Brookings","OR","00308","Private Provider Reporting on Behalf of a Public Entity","Rural Reporter","2024",,,,"11","427130","0","368882","99342","0","0","895354"
"Grant County Transportation Authority, dba: Grant Transit Authority","Moses Lake","WA","00309","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"46","0","0","2251660","240800","0","0","2492460"
"Lincoln County Transportation Service District, dba: Lincoln County Transit","Newport","OR","00310","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","0","0","489204","17262","0","0","506466"
"Mountain Rides Transportation Authority","Ketchum","ID","00311","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"34","368238","0","2362553","0","0","0","2730791"
"Hopesource","Ellensburg","WA","00312","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"14","57697","0","244929","0","0","0","302626"
"Grant County Transportation District, dba: The People Mover","John Day","OR","00313","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","278047","0","0","52489","330536"
"Grays Harbor Transit","Hoquiam","WA","00314","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"46","14660","0","810261","0","0","0","824921"
"Mason County Transportation Authority, dba: Mason Transit Authority","Shelton","WA","00315","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"35","2058495","0","1711817","0","0","0","3770312"
"Jefferson Transit","Port Townsend","WA","00316","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","0","0","1539322","0","0","0","1539322"
"Mt Si Senior Center, dba: Snoqualmie Valley Transportation","North Bend","WA","00317","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","0","0","11018","0","0","0","11018"
"Hood River County Transportation District, dba: Columbia Area Transit","Hood River","OR","00319","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","0","0","854662","49186","0","0","903848"
"Center for Community","Sitka","AK","00320","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"0","0","0","46493","0","0","0","46493"
"Yamhill County, dba: Yamhill County Transit","Mcminnville","OR","00321","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"26","0","0","790507","354675","0","0","1145182"
"Pacific Transit","Raymond","WA","00322","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"14","0","0","1910188","0","0","0","1910188"
"Malheur Council on Aging and Community Services","Ontario","OR","00323","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","335578","106537","0","45000","487115"
"Valley Transit","Wasilla","AK","00327","Private-Non-Profit Corporation","Reduced Reporter","2024","92459","Wasilla--Knik-Fairview--North Lakes, AK","53444","10","0","0","1462579","0","0","51885","1514464"
"City of Canby","Canby","OR","00330","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","71317","Portland, OR--WA","2104238","9","0","67607","333864","90161","0","0","491632"
"Sunset Empire Transportation District","Astoria","OR","00331","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","0","0","604605","51455","0","0","656060"
"Okanogan County Transportation & Nutrition","Omak","WA","00332","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12","0","0","0","0","0","0","0"
"Council on Aging & Human Services, dba: COAST Public Transportation","Colfax","WA","00333","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"19","0","0","0","114123","0","0","114123"
"Skamania County Senior Services","Stevenson","WA","00336","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","0","0","0","0","16471","16471"
"Basin Transit Service, dba: Basin Transit Service Transportation District","Klamath Falls","OR","00339","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","10440","0","1214789","94790","0","0","1320019"
"Senior Citizens of Kodiak, Inc., dba: Kodiak Area Transportation System","Kodiak","AK","00340","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","536936","0","0","0","536936"
"Selkirks-Pend Oreille Transit Authority","Dover","ID","00341","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"14","0","0","881209","0","0","0","881209"
"Community Connection of Northeast Oregon, dba: NEOTransit","La Grande","OR","00343","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"20","192072","0","426887","213791","0","0","832750"
"Glacier Valley Transit","Girdwood","AK","00345","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","309487","0","0","0","309487"
"Regional Public Transportation, Inc., dba: SMART Transit","Moscow","ID","00347","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","640433","0","0","0","640433"
"Senior Citizens of Sweet Home, Inc.","Sweet Home","OR","00348","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","739794","400057","0","0","1139851"
"Catholic Community Service, Sitka, dba: Catholic Community Service","Juneau","AK","00354","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","0","0","211117","0","0","0","211117"
"Ketchikan Gateway Borough, dba: The Bus","Ketchikan","AK","00358","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","45010","1312373","0","0","0","1357383"
"City of Pendleton, dba: Let'Er Bus","Pendleton","OR","00359","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","1122090","0","107259","234413","0","0","1463762"
"City of Woodburn, dba: Woodburn Transit System","Woodburn","OR","00360","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","285191","113087","0","0","398278"
"Clackamas County, dba: Mt Hood Express and #ClackCo Shuttles","Oregon City","OR","00363","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","71317","Portland, OR--WA","2104238","22","68000","0","622293","179181","0","7973","877447"
"Lewis County Transit","Centralia","WA","00364","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"20","77126","0","2024712","0","0","202500","2304338"
"Lower Columbia Community Action Council, dba: Lower Columbia CAP","Longview","WA","00368","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0"
"Wahkiakum County, dba: Wahkiakum on the Move","Cathlamet","WA","00371","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","0","0","0","0","0"
"Treasure Valley Transit","Nampa","ID","00373","Private-Non-Profit Corporation","Reduced Reporter","2024","60976","Nampa, ID","177561","26","1920213","0","3213477","192761","0","0","5326451"
"Harney County, dba: Harney Hub Transit","Burns","OR","00374","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","193420","74492","0","0","267912"
"Columbia County, dba: Columbia County Rider Transportation","Saint Helens","OR","00375","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","568200","0","560488","152855","0","0","1281543"
"Ride Connection, Inc.","Portland","OR","00376","Private-Non-Profit Corporation","Full Reporter","2024","71317","Portland, OR--WA","2104238","68","111008","0","231291","1389901","0","23726","1755926"
"City of Lebanon, dba: Lebanon Interneighborhood Express","Lebanon","OR","00377","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","164636","28440","0","100626","293702"
"Central Area Rural Transit System, Inc., dba: Central Area Rural Transit System","Soldotna","AK","00378","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"22","0","64925","782835","0","0","85017","932777"
"Inter-Island Ferry Authority","Craig","AK","00382","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"1","0","0","601840","0","0","65916","667756"
"Columbia County Public Transportation","Dayton","WA","00383","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","0","0","629830","0","0","0","629830"
"Special Mobility Services","Portland","OR","00386","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0"
"City of Bethel, dba: Bethel Transit System","Bethel","AK","00387","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","438712","0","0","0","438712"
"City of Sandy","Sandy","OR","00389","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","88807","0","578579","66440","0","0","733826"
"City and Borough of Juneau, dba: Capital Transit","Juneau","AK","00391","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"20","501866","0","1773544","0","0","0","2275410"
"Mid-Columbia Economic Development District","The Dalles","OR","00396","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","64","0","302594","351950","0","0","654608"
"Coastal Community Action Program","Aberdeen","WA","00398","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0"
"Sunshine Transit","Talkeetna","AK","00399","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","1039651","0","0","0","1039651"
"Gwichyaa Zhee Tribal Transit Service, dba: Native Village of Fort Yukon","Fort Yukon","AK","00400","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","0","0","204843","0","204843"
"Lower Elwha Klallam Tribe","Port Angeles","WA","00401","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","1","0","0","24449","0","5263","0","29712"
"Lemhi Ride","Salmon","ID","00403","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","116547","0","0","0","116547"
"Shoshone County","Wallace","ID","00404","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","114756","0","0","0","114756"
"Okanogan County Transit Authority, dba: TranGO","Okanogan","WA","00405","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16","0","0","0","0","0","0","0"
"Muckleshoot Indian Tribe","Auburn","WA","00407","Tribe","Reduced Reporter","2024","80389","Seattle--Tacoma, WA","3544011","7","0","0","200720","0","0","0","200720"
"Morrow County, dba: Morrow County Loop","Heppner","OR","00409","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","0","0","0","28290","28290"
"Ninilchik Village, dba: BUMPS (Basic Unified Multi Path Services)","Ninilchik","AK","00414","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","0","0","111914","0","0","109561","221475"
"Ada County Highway District, dba: ACHD Commuteride",,"ID","00415","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","08785","Boise City, ID","433180","88","34959","0","0","0","0","0","34959"
"Boise State University, dba: Bronco Shuttles","Boise","ID","00416","University","Reduced Reporter","2024","08785","Boise City, ID","433180","10","0","0","0","0","0","0","0"
"Kenaitze Indian Tribe","Kenai","AK","00419","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","7","1600000","0","264102","0","95824","326683","2286609"
"Native Village of Unalakleet","Unalakleet","AK","00420","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","553385","0","0","0","553385"
"Umpqua Public Transportation District","Roseburg","OR","00459","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","289771","0","1717920","453057","0","0","2460748"
"Craig Tribal Association","Craig","AK","00460","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","0","0","140888","0","140888"
"Petersburg Indian Association","Petersburg","AK","00463","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","775","0","114902","0","115677"
"Lane Council of Governments, dba: Link Lane","Eugene","OR","00464","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"6","0","0","407346","0","0","0","407346"
"Rhode Island Public Transit Authority, dba: RIPTA","Providence","RI","10001","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","72505","Providence, RI--MA","1285806","294","89355505","35024","28314","44447","0","0","89463290"
"Manchester Transit Authority","Manchester","NH","10002","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","53740","Manchester, NH","163289","25","3860968","0","0","301277","0","0","4162245"
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","2006","201339495","143049851","0","54402191","29790421","11485777","440067735"
"Brockton Area Transit Authority","Brockton","MA","10004","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","82","6795451","0","0","637689","0","0","7433140"
"Lowell Regional Transit Authority, dba: LRTA","Lowell","MA","10005","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","76","0","0","0","351621","0","0","351621"
