"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","general_funds","transportation_funds","reduced_reporter_funds","total","total_questionable"
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem","OR","00025","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78229","Salem, OR","268331","139","10251322","12107636","0","22358958",
"Bristol Bay Native Association","Dillingham","AK","00026","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","0","0","0","0","0",
"Confederated Tribes of Siletz Indians, dba: CTSI Planning Department","Siletz","OR","00027","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","0","0","0","0","0",
"County of Pierce, dba: Pierce County Ferry","Tacoma","WA","00028","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2","0","1069707","0","1069707",
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","563","0","7061658","0","7061658",
"Chickaloon Native Village, dba: Chickaloon Area Transit System (Transit)","Palmer","AK","00030","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","0","0","0","0",
"Shoshone-Bannock Tribes","Fort Hall","ID","00031","Tribe","Reduced Reporter","2024","00016","Idaho Non-UZA","836252","7","0","0","0","0",
"Senior Services of Snohomish County, dba: Homage Senior Services","Lynnwood","WA","00033","Private-Non-Profit Corporation","Reduced Reporter","2024","80389","Seattle--Tacoma, WA","3544011","11","0","0","1379012","1379012",
"Rogue Valley Transportation District","Medford","OR","00034","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","55981","Medford, OR","171640","52","0","9055629","0","9055629",
"Washington State Ferries","Olympia","WA","00035","State Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","15","0","292914063","0","292914063",
"Makah Tribal Council","Neah Bay","WA","00036","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","1","0","0","0","0",
"Central Puget Sound Regional Transit Authority, dba: Sound Transit","Seattle","WA","00040","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","429","0","27956662","0","27956662",
"Alaska Railroad Corporation","Anchorage","AK","00041","State Government Unit or Department of Transportation","Full Reporter","2024","02305","Anchorage, AK","249252","59","279350","0","0","279350",
"Chelan Douglas PTBA, dba: Link Transit","Wenatchee","WA","00043","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","93862","Wenatchee, WA","78142","82","0","3665094","0","3665094",
"Skagit Transit","Burlington","WA","00044","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","60490","Mount Vernon, WA","66825","79","0","2765088","0","2765088",
"Fairbanks North Star Borough, dba: Metropolitan Area Commuter System","Fairbanks","AK","00045","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","28549","Fairbanks, AK","71396","20","0","0","227600","227600",
"City of Wilsonville, dba: South Metro Area Regional Transit","Wilsonville","OR","00046","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","71317","Portland, OR--WA","2104238","19","0","3747146","0","3747146",
"City of Corvallis, dba: Corvallis Transit System","Corvallis","OR","00047","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","20422","Corvallis, OR","66791","10","0","0","1081838","1081838",
"City of Lewiston, dba: Lewiston Transit System","Lewiston","ID","00048","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","49312","Lewiston, ID--WA","54798","5","0","0","1790","1790",
"Asotin County Public Transportation Benefit Area","Clarkston","WA","00051","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","49312","Lewiston, ID--WA","54798","13","0","0","647451","647451",
"Coeur d'Alene Tribe, dba: Citylink Transit","Plummer","ID","00053","Tribe","Reduced Reporter","2024","18451","Coeur d'Alene, ID","121831","7","0","0","0","0",
"Kootenai County, dba: Citylink North","Coeur D Alene","ID","00055","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","18451","Coeur d'Alene, ID","121831","4","0","0","0","0",
"Central Oregon Intergovernmental Council, dba: Cascades East Transit","Bend","OR","00057","MPO, COG or Other Planning Agency","Full Reporter","2024","06868","Bend, OR","106988","90","0","6393350","0","6393350",
"City of Portland, dba: Portland Streetcar","Portland","OR","00058","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","71317","Portland, OR--WA","2104238","14","0","4516414","0","4516414",
"Josephine County, dba: Josephine Community Transit","Grants Pass","OR","00059","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","34516","Grants Pass, OR","55724","18","0","0","279975","279975",
"City of Albany, dba: Albany Transit System, Linn-Benton Loop","Albany","OR","00061","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00955","Albany, OR","62074","15","0","0","1759358","1759358",
"City of Milton-Freewater","Milton Freewater","OR","00063","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","48003","48003",
"Valley Transit","Walla Walla","WA","00064","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","91405","Walla Walla, WA--OR","50013","19","0","0","1808552","1808552",
"Benton County, dba: Benton Area Transit","Corvallis","OR","00065","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","20422","Corvallis, OR","66791","13","0","0","1155253","1155253",
"Confederated Tribes of the Grand Ronde Community of Oregon","Grand Ronde","OR","00075","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA",,"0","0","0","47586","47586",
"Gulkana Village Council, dba: Soaring Eagle Transit","Gakona","AK","00085","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","0","0","0","0",
"Lummi Nation, dba: Lummi Transit","Bellingham","WA","00095","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","4","0","0","372578","372578",
"Squaxin Island Tribe, dba: Squaxin Island Transit","Shelton","WA","00103","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","0","0","0","0",
"Confederated Tribes and Bands of The Yakama Nation, dba: Pahto Public Passage","Toppenish","WA","00111","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","7","0","0","331146","331146",
"Confederated Tribes of the Umatilla Indian Reservation, dba: Kayak Public Transit","Pendleton","OR","00119","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","8","0","0","1405949","1405949",
"Cowlitz Indian Tribe, dba: Cowlitz Tribe Transit Service","Longview","WA","00127","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","8","0","0","467784","467784",
"Nez Perce Tribe, dba: Appaloosa Express","Lapwai","ID","00135","Tribe","Reduced Reporter","2024","00016","Idaho Non-UZA","836252","4","0","0","0","0",
"Asa'carsarmiut Tribe, dba: Asa'carsarmiut Tribal Council Transit Service","Mountain Village","AK","00143","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","0","0",
"Seldovia Village Tribe, dba: Seldovia Bay Ferry","Seldovia","AK","00199","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","0","0",
"Spokane Tribe of Indians, dba: The Moccasin Express","Wellpinit","WA","00207","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","10","0","0","425641","425641",
"Jamestown S'Klallam Tribe","Sequim","WA","00223","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","0","0","0","118016","118016",
"Confederated Tribes of Warm Springs","Warm Springs","OR","00231","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","0","0","0","150119","150119",
"Ketchikan Indian Community","Ketchikan","AK","00239","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","4","0","0","0","0",
"Nome Eskimo Community","Nome","AK","00271","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA",,"0","0","0","0","0",
"Hydaburg Cooperative Association, dba: HCA transit","Hydaburg","AK","00279","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","0","0",
"Garfield County Transportation Program, dba: Garfield County Transportation Authority","Pomeroy","WA","00282","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","475062","475062",
"Thurston Regional Planning Council, dba: ruralTRANSIT","Olympia","WA","00285","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"6","0","0","1463080","1463080",
"Rural Resources Community Action","Colville","WA","00286","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","137910","137910",
"People for People Moses Lake","Yakima","WA","00287","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"26","0","0","1651960","1651960",
"City of Pullman, dba: Pullman Transit","Pullman","WA","00294","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","0","0","2236482","2236482",
"Tillamook County Transportation District, dba: The Wave","Tillamook","OR","00296","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","0","0",
"People for People Yakima","Yakima","WA","00297","Private-Non-Profit Corporation","Reduced Reporter","2024","97507","Yakima, WA","133145","17","0","0","1676317","1676317",
"Island Transit","Coupeville","WA","00298","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"57","0","0","8448508","8448508",
"Klickitat County Senior Services, dba: Mount Adams Transportation Service","Goldendale","WA","00299","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","0","0","1246267","1246267",
"City of Silverton, dba: Silver Trolley","Silverton","OR","00300","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","19392","19392",
"South Clackamas Transportation District","Molalla","OR","00301","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"4","0","0","800386","800386",
"Clallam Transit System","Port Angeles","WA","00303","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"56","0","0","4840305","4840305",
"Coos County Area Transit","Coos Bay","OR","00307","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","0","0","1620641","1620641",
"Curry County Public Transit Service District, dba: Curry Public Transit Inc","Brookings","OR","00308","Private Provider Reporting on Behalf of a Public Entity","Rural Reporter","2024",,,,"11","0","0","382516","382516",
"Grant County Transportation Authority, dba: Grant Transit Authority","Moses Lake","WA","00309","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"46","0","0","4168157","4168157",
"Lincoln County Transportation Service District, dba: Lincoln County Transit","Newport","OR","00310","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","0","0","304802","304802",
"Mountain Rides Transportation Authority","Ketchum","ID","00311","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"34","0","0","0","0",
"Hopesource","Ellensburg","WA","00312","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"14","0","0","1531050","1531050",
"Grant County Transportation District, dba: The People Mover","John Day","OR","00313","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","445494","445494",
"Grays Harbor Transit","Hoquiam","WA","00314","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"46","0","0","1758634","1758634",
"Mason County Transportation Authority, dba: Mason Transit Authority","Shelton","WA","00315","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"35","0","0","5903255","5903255",
"Jefferson Transit","Port Townsend","WA","00316","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","0","0","1056307","1056307",
"Mt Si Senior Center, dba: Snoqualmie Valley Transportation","North Bend","WA","00317","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","0","0","613332","613332",
"Hood River County Transportation District, dba: Columbia Area Transit","Hood River","OR","00319","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","0","0","1306909","1306909",
"Center for Community","Sitka","AK","00320","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"0","0","0","0","0",
"Yamhill County, dba: Yamhill County Transit","Mcminnville","OR","00321","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"26","0","0","3317003","3317003",
"Pacific Transit","Raymond","WA","00322","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"14","0","0","251184","251184",
"Malheur Council on Aging and Community Services","Ontario","OR","00323","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","109303","109303",
"Valley Transit","Wasilla","AK","00327","Private-Non-Profit Corporation","Reduced Reporter","2024","92459","Wasilla--Knik-Fairview--North Lakes, AK","53444","10","0","0","0","0",
"City of Canby","Canby","OR","00330","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","71317","Portland, OR--WA","2104238","9","0","0","528393","528393",
"Sunset Empire Transportation District","Astoria","OR","00331","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","0","0","0","0",
"Okanogan County Transportation & Nutrition","Omak","WA","00332","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12","0","0","1229837","1229837",
"Council on Aging & Human Services, dba: COAST Public Transportation","Colfax","WA","00333","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"19","0","0","624624","624624",
"Skamania County Senior Services","Stevenson","WA","00336","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","0","621914","621914",
"Basin Transit Service, dba: Basin Transit Service Transportation District","Klamath Falls","OR","00339","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","0","0","1336554","1336554",
"Senior Citizens of Kodiak, Inc., dba: Kodiak Area Transportation System","Kodiak","AK","00340","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","0","0",
"Selkirks-Pend Oreille Transit Authority","Dover","ID","00341","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"14","0","0","0","0",
"Community Connection of Northeast Oregon, dba: NEOTransit","La Grande","OR","00343","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"20","0","0","948380","948380",
"Glacier Valley Transit","Girdwood","AK","00345","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","0","0",
"Regional Public Transportation, Inc., dba: SMART Transit","Moscow","ID","00347","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","0","0",
"Senior Citizens of Sweet Home, Inc.","Sweet Home","OR","00348","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","579533","579533",
"Catholic Community Service, Sitka, dba: Catholic Community Service","Juneau","AK","00354","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","0","0","0","0",
"Ketchikan Gateway Borough, dba: The Bus","Ketchikan","AK","00358","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","0","0",
"City of Pendleton, dba: Let'Er Bus","Pendleton","OR","00359","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","619320","619320",
"City of Woodburn, dba: Woodburn Transit System","Woodburn","OR","00360","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","939454","939454",
"Clackamas County, dba: Mt Hood Express and #ClackCo Shuttles","Oregon City","OR","00363","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","71317","Portland, OR--WA","2104238","22","0","0","2631042","2631042",
"Lewis County Transit","Centralia","WA","00364","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"20","0","0","8561103","8561103",
"Lower Columbia Community Action Council, dba: Lower Columbia CAP","Longview","WA","00368","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","0","0","402061","402061",
"Wahkiakum County, dba: Wahkiakum on the Move","Cathlamet","WA","00371","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","721382","721382",
"Treasure Valley Transit","Nampa","ID","00373","Private-Non-Profit Corporation","Reduced Reporter","2024","60976","Nampa, ID","177561","26","0","0","0","0",
"Harney County, dba: Harney Hub Transit","Burns","OR","00374","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","315726","315726",
"Columbia County, dba: Columbia County Rider Transportation","Saint Helens","OR","00375","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","462013","462013",
"Ride Connection, Inc.","Portland","OR","00376","Private-Non-Profit Corporation","Full Reporter","2024","71317","Portland, OR--WA","2104238","68","0","4484601","0","4484601",
"City of Lebanon, dba: Lebanon Interneighborhood Express","Lebanon","OR","00377","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","837191","837191",
"Central Area Rural Transit System, Inc., dba: Central Area Rural Transit System","Soldotna","AK","00378","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"22","0","0","0","0",
"Inter-Island Ferry Authority","Craig","AK","00382","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"1","0","0","251199","251199",
"Columbia County Public Transportation","Dayton","WA","00383","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","0","0","1251792","1251792",
"Special Mobility Services","Portland","OR","00386","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","0","0","984024","984024",
"City of Bethel, dba: Bethel Transit System","Bethel","AK","00387","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0",
"City of Sandy","Sandy","OR","00389","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","1020846","1020846",
"City and Borough of Juneau, dba: Capital Transit","Juneau","AK","00391","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"20","0","0","0","0",
"Mid-Columbia Economic Development District","The Dalles","OR","00396","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","608876","608876",
"Coastal Community Action Program","Aberdeen","WA","00398","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","480365","480365",
"Sunshine Transit","Talkeetna","AK","00399","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","0","0",
"Gwichyaa Zhee Tribal Transit Service, dba: Native Village of Fort Yukon","Fort Yukon","AK","00400","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","0","0",
"Lower Elwha Klallam Tribe","Port Angeles","WA","00401","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","1","0","0","0","0",
"Lemhi Ride","Salmon","ID","00403","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","90949","90949",
"Shoshone County","Wallace","ID","00404","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0",
"Okanogan County Transit Authority, dba: TranGO","Okanogan","WA","00405","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16","0","0","608456","608456",
"Muckleshoot Indian Tribe","Auburn","WA","00407","Tribe","Reduced Reporter","2024","80389","Seattle--Tacoma, WA","3544011","7","0","0","0","0",
"Morrow County, dba: Morrow County Loop","Heppner","OR","00409","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","1116558","1116558",
"Ninilchik Village, dba: BUMPS (Basic Unified Multi Path Services)","Ninilchik","AK","00414","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","0","0","0","0",
"Ada County Highway District, dba: ACHD Commuteride",,"ID","00415","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","08785","Boise City, ID","433180","88","0","0","0","0",
"Boise State University, dba: Bronco Shuttles","Boise","ID","00416","University","Reduced Reporter","2024","08785","Boise City, ID","433180","10","0","0","0","0",
"Kenaitze Indian Tribe","Kenai","AK","00419","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","7","0","0","0","0",
"Native Village of Unalakleet","Unalakleet","AK","00420","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","0","0",
"Umpqua Public Transportation District","Roseburg","OR","00459","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","0","0","3187056","3187056",
"Craig Tribal Association","Craig","AK","00460","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","0","0",
"Petersburg Indian Association","Petersburg","AK","00463","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","0","0","0","0",
"Lane Council of Governments, dba: Link Lane","Eugene","OR","00464","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"6","0","0","493675","493675",
"Rhode Island Public Transit Authority, dba: RIPTA","Providence","RI","10001","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","72505","Providence, RI--MA","1285806","294","6714149","10374405","0","17088554",
"Manchester Transit Authority","Manchester","NH","10002","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","53740","Manchester, NH","163289","25","0","0","0","0",
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","2006","695597965","1403791667","0","2099389632",
"Brockton Area Transit Authority","Brockton","MA","10004","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","82","15949393","0","0","15949393",
"Lowell Regional Transit Authority, dba: LRTA","Lowell","MA","10005","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","76","10505913","0","0","10505913",
"Southeastern Regional Transit Authority","New Bedford","MA","10006","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","61786","New Bedford, MA","155491","79","16607697","0","0","16607697",
"Berkshire Regional Transit Authority","Pittsfield","MA","10007","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","69778","Pittsfield, MA","50720","30","5129336","0","0","5129336",
"Pioneer Valley Transit Authority","Springfield","MA","10008","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","83926","Springfield, MA--CT","442145","207","42465690","2462186","0","44927876",
"Merrimack Valley Regional Transit Authority, dba: Merrimack Valley Transit","Haverhill","MA","10013","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","84","8000","17724498","0","17732498",
"Worcester Regional Transit Authority","Worcester","MA","10014","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","97291","Worcester, MA--CT","482085","98","22961894","0","0","22961894",
"Lewiston-Auburn Transit Committee","Auburn","ME","10015","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","49339","Lewiston, ME","60743","9","0","0","268729","268729",
"Greater Portland Transit District, dba: METRO","Portland","ME","10016","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71263","Portland, ME","205356","30","0","968096","0","968096",
"Greater Hartford Transit District","Hartford","CT","10017","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","37243","Hartford, CT","977158","139","885746","22632601","0","23518347",
"Southeast Area Transit District","Preston","CT","10040","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","64135","Norwich--New London, CT","167432","28","5479106","0","0","5479106",
"Valley Transit District","Derby","CT","10042","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","12","90848","1846492","0","1937340",
"Connecticut Department of Transportation - CTTransit New Britain -Dattco., dba: DATTCO","New Britain","CT","10045","Private Provider Reporting on Behalf of a Public Entity","Full Reporter","2024","37243","Hartford, CT","977158","22","0","5676161","0","5676161",
"Connecticut Department of Transportation - CTTRANSIT - Hartford Division, dba: CTTransit","Hartford","CT","10048","State Government Unit or Department of Transportation","Full Reporter","2024","37243","Hartford, CT","977158","213","0","94934633","0","94934633",
"Greater New Haven Transit District","Hamden","CT","10049","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","62407","New Haven, CT","561456","51","0","12559912","0","12559912",
"Greater Bridgeport Transit Authority","Bridgeport","CT","10050","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","63","20241777","0","0","20241777",
